rank,image_path
8166,8166_ILSVRC2012_val_00047775.JPEG
9224,9224_ILSVRC2012_val_00002758.JPEG
11017,11017_ILSVRC2012_val_00006182.JPEG
11258,11258_ILSVRC2012_val_00041962.JPEG
14531,14531_ILSVRC2012_val_00033754.JPEG
14681,14681_ILSVRC2012_val_00021011.JPEG
16689,16689_ILSVRC2012_val_00048884.JPEG
17053,17053_ILSVRC2012_val_00010832.JPEG
19078,19078_ILSVRC2012_val_00022955.JPEG
19405,19405_ILSVRC2012_val_00031286.JPEG
19679,19679_ILSVRC2012_val_00025486.JPEG
20686,20686_ILSVRC2012_val_00034759.JPEG
21186,21186_ILSVRC2012_val_00046293.JPEG
22044,22044_ILSVRC2012_val_00008892.JPEG
23284,23284_ILSVRC2012_val_00002733.JPEG
23338,23338_ILSVRC2012_val_00030252.JPEG
23973,23973_ILSVRC2012_val_00022383.JPEG
25237,25237_ILSVRC2012_val_00002777.JPEG
25451,25451_ILSVRC2012_val_00019789.JPEG
25728,25728_ILSVRC2012_val_00001542.JPEG
26037,26037_ILSVRC2012_val_00031070.JPEG
26570,26570_ILSVRC2012_val_00019720.JPEG
26850,26850_ILSVRC2012_val_00043316.JPEG
27497,27497_ILSVRC2012_val_00004686.JPEG
27989,27989_ILSVRC2012_val_00021260.JPEG
28261,28261_ILSVRC2012_val_00043151.JPEG
28399,28399_ILSVRC2012_val_00045257.JPEG
28517,28517_ILSVRC2012_val_00029148.JPEG
28749,28749_ILSVRC2012_val_00009760.JPEG
28875,28875_ILSVRC2012_val_00022831.JPEG
31907,31907_ILSVRC2012_val_00026196.JPEG
32510,32510_ILSVRC2012_val_00015639.JPEG
32759,32759_ILSVRC2012_val_00043427.JPEG
33294,33294_ILSVRC2012_val_00034986.JPEG
33371,33371_ILSVRC2012_val_00001354.JPEG
34949,34949_ILSVRC2012_val_00032465.JPEG
36281,36281_ILSVRC2012_val_00032955.JPEG
37474,37474_ILSVRC2012_val_00014481.JPEG
37753,37753_ILSVRC2012_val_00042569.JPEG
38663,38663_ILSVRC2012_val_00043811.JPEG
38976,38976_ILSVRC2012_val_00047446.JPEG
39475,39475_ILSVRC2012_val_00026610.JPEG
40168,40168_ILSVRC2012_val_00017996.JPEG
41452,41452_ILSVRC2012_val_00002181.JPEG
43143,43143_ILSVRC2012_val_00033814.JPEG
43395,43395_ILSVRC2012_val_00027306.JPEG
44021,44021_ILSVRC2012_val_00009306.JPEG
44177,44177_ILSVRC2012_val_00014440.JPEG
44782,44782_ILSVRC2012_val_00047335.JPEG
45060,45060_ILSVRC2012_val_00004535.JPEG
