rank,image_path
867,867_ILSVRC2012_val_00033388.JPEG
7145,7145_ILSVRC2012_val_00036628.JPEG
9815,9815_ILSVRC2012_val_00045322.JPEG
13835,13835_ILSVRC2012_val_00027739.JPEG
14231,14231_ILSVRC2012_val_00042290.JPEG
14891,14891_ILSVRC2012_val_00013968.JPEG
16057,16057_ILSVRC2012_val_00023828.JPEG
17432,17432_ILSVRC2012_val_00013226.JPEG
19406,19406_ILSVRC2012_val_00034503.JPEG
19602,19602_ILSVRC2012_val_00020852.JPEG
19893,19893_ILSVRC2012_val_00017622.JPEG
20276,20276_ILSVRC2012_val_00043472.JPEG
21563,21563_ILSVRC2012_val_00024539.JPEG
21979,21979_ILSVRC2012_val_00000336.JPEG
23323,23323_ILSVRC2012_val_00013222.JPEG
25547,25547_ILSVRC2012_val_00001214.JPEG
25854,25854_ILSVRC2012_val_00040061.JPEG
26964,26964_ILSVRC2012_val_00004625.JPEG
27875,27875_ILSVRC2012_val_00035806.JPEG
28569,28569_ILSVRC2012_val_00042633.JPEG
30856,30856_ILSVRC2012_val_00008220.JPEG
32274,32274_ILSVRC2012_val_00022064.JPEG
33743,33743_ILSVRC2012_val_00042873.JPEG
33898,33898_ILSVRC2012_val_00022605.JPEG
33953,33953_ILSVRC2012_val_00033936.JPEG
36487,36487_ILSVRC2012_val_00013122.JPEG
37671,37671_ILSVRC2012_val_00042988.JPEG
38327,38327_ILSVRC2012_val_00029235.JPEG
38631,38631_ILSVRC2012_val_00017170.JPEG
40325,40325_ILSVRC2012_val_00049238.JPEG
41032,41032_ILSVRC2012_val_00022528.JPEG
41828,41828_ILSVRC2012_val_00041404.JPEG
41872,41872_ILSVRC2012_val_00046426.JPEG
42429,42429_ILSVRC2012_val_00048205.JPEG
42445,42445_ILSVRC2012_val_00016300.JPEG
43259,43259_ILSVRC2012_val_00030335.JPEG
43493,43493_ILSVRC2012_val_00011119.JPEG
43590,43590_ILSVRC2012_val_00031208.JPEG
43659,43659_ILSVRC2012_val_00008396.JPEG
45408,45408_ILSVRC2012_val_00010175.JPEG
45539,45539_ILSVRC2012_val_00005035.JPEG
45932,45932_ILSVRC2012_val_00000226.JPEG
46284,46284_ILSVRC2012_val_00045186.JPEG
46407,46407_ILSVRC2012_val_00017066.JPEG
46884,46884_ILSVRC2012_val_00007724.JPEG
47683,47683_ILSVRC2012_val_00001126.JPEG
47797,47797_ILSVRC2012_val_00006327.JPEG
47859,47859_ILSVRC2012_val_00011094.JPEG
49447,49447_ILSVRC2012_val_00004236.JPEG
49742,49742_ILSVRC2012_val_00006594.JPEG
