rank,image_path
585,585_ILSVRC2012_val_00049246.JPEG
604,604_ILSVRC2012_val_00025053.JPEG
844,844_ILSVRC2012_val_00009601.JPEG
1442,1442_ILSVRC2012_val_00003021.JPEG
2186,2186_ILSVRC2012_val_00026660.JPEG
2448,2448_ILSVRC2012_val_00005297.JPEG
2514,2514_ILSVRC2012_val_00003288.JPEG
3863,3863_ILSVRC2012_val_00016112.JPEG
6206,6206_ILSVRC2012_val_00036532.JPEG
6572,6572_ILSVRC2012_val_00043858.JPEG
6750,6750_ILSVRC2012_val_00045215.JPEG
7332,7332_ILSVRC2012_val_00001120.JPEG
7739,7739_ILSVRC2012_val_00030168.JPEG
7788,7788_ILSVRC2012_val_00021320.JPEG
8819,8819_ILSVRC2012_val_00033130.JPEG
9339,9339_ILSVRC2012_val_00025154.JPEG
9970,9970_ILSVRC2012_val_00018030.JPEG
10378,10378_ILSVRC2012_val_00045216.JPEG
10628,10628_ILSVRC2012_val_00014680.JPEG
10664,10664_ILSVRC2012_val_00019334.JPEG
10839,10839_ILSVRC2012_val_00027020.JPEG
12277,12277_ILSVRC2012_val_00048728.JPEG
12537,12537_ILSVRC2012_val_00021225.JPEG
12649,12649_ILSVRC2012_val_00043123.JPEG
12758,12758_ILSVRC2012_val_00048677.JPEG
12940,12940_ILSVRC2012_val_00020478.JPEG
13439,13439_ILSVRC2012_val_00004903.JPEG
14187,14187_ILSVRC2012_val_00020465.JPEG
14339,14339_ILSVRC2012_val_00049088.JPEG
15154,15154_ILSVRC2012_val_00008329.JPEG
15749,15749_ILSVRC2012_val_00039350.JPEG
17428,17428_ILSVRC2012_val_00035438.JPEG
19148,19148_ILSVRC2012_val_00047028.JPEG
20931,20931_ILSVRC2012_val_00046904.JPEG
22421,22421_ILSVRC2012_val_00029898.JPEG
24056,24056_ILSVRC2012_val_00031830.JPEG
24835,24835_ILSVRC2012_val_00017236.JPEG
24847,24847_ILSVRC2012_val_00016080.JPEG
25108,25108_ILSVRC2012_val_00049862.JPEG
25142,25142_ILSVRC2012_val_00021869.JPEG
25998,25998_ILSVRC2012_val_00044066.JPEG
26341,26341_ILSVRC2012_val_00047834.JPEG
29696,29696_ILSVRC2012_val_00028917.JPEG
30669,30669_ILSVRC2012_val_00021596.JPEG
31371,31371_ILSVRC2012_val_00014129.JPEG
32719,32719_ILSVRC2012_val_00049396.JPEG
34497,34497_ILSVRC2012_val_00014606.JPEG
35086,35086_ILSVRC2012_val_00034646.JPEG
36286,36286_ILSVRC2012_val_00016298.JPEG
38537,38537_ILSVRC2012_val_00037517.JPEG
