rank,image_path
972,972_ILSVRC2012_val_00039976.JPEG
1759,1759_ILSVRC2012_val_00006189.JPEG
4991,4991_ILSVRC2012_val_00010112.JPEG
6112,6112_ILSVRC2012_val_00021317.JPEG
7676,7676_ILSVRC2012_val_00047263.JPEG
8480,8480_ILSVRC2012_val_00046107.JPEG
10191,10191_ILSVRC2012_val_00043574.JPEG
11716,11716_ILSVRC2012_val_00006724.JPEG
12345,12345_ILSVRC2012_val_00006293.JPEG
13206,13206_ILSVRC2012_val_00024099.JPEG
13299,13299_ILSVRC2012_val_00016730.JPEG
13338,13338_ILSVRC2012_val_00041191.JPEG
14556,14556_ILSVRC2012_val_00023364.JPEG
14619,14619_ILSVRC2012_val_00035094.JPEG
16821,16821_ILSVRC2012_val_00021769.JPEG
16903,16903_ILSVRC2012_val_00002677.JPEG
16988,16988_ILSVRC2012_val_00045723.JPEG
18545,18545_ILSVRC2012_val_00024068.JPEG
18696,18696_ILSVRC2012_val_00005451.JPEG
19650,19650_ILSVRC2012_val_00006565.JPEG
19805,19805_ILSVRC2012_val_00011471.JPEG
19969,19969_ILSVRC2012_val_00026100.JPEG
20748,20748_ILSVRC2012_val_00004790.JPEG
21098,21098_ILSVRC2012_val_00020718.JPEG
21148,21148_ILSVRC2012_val_00041617.JPEG
21690,21690_ILSVRC2012_val_00049547.JPEG
21982,21982_ILSVRC2012_val_00013959.JPEG
23432,23432_ILSVRC2012_val_00025753.JPEG
23747,23747_ILSVRC2012_val_00015539.JPEG
23915,23915_ILSVRC2012_val_00043411.JPEG
24604,24604_ILSVRC2012_val_00000572.JPEG
25012,25012_ILSVRC2012_val_00016592.JPEG
25323,25323_ILSVRC2012_val_00031146.JPEG
26385,26385_ILSVRC2012_val_00019473.JPEG
26659,26659_ILSVRC2012_val_00002594.JPEG
26766,26766_ILSVRC2012_val_00012831.JPEG
27802,27802_ILSVRC2012_val_00001822.JPEG
30583,30583_ILSVRC2012_val_00009412.JPEG
31745,31745_ILSVRC2012_val_00010967.JPEG
33114,33114_ILSVRC2012_val_00009621.JPEG
33949,33949_ILSVRC2012_val_00001151.JPEG
34565,34565_ILSVRC2012_val_00049379.JPEG
35570,35570_ILSVRC2012_val_00029061.JPEG
37313,37313_ILSVRC2012_val_00029730.JPEG
39511,39511_ILSVRC2012_val_00047830.JPEG
40131,40131_ILSVRC2012_val_00043866.JPEG
40664,40664_ILSVRC2012_val_00048815.JPEG
43575,43575_ILSVRC2012_val_00032670.JPEG
46178,46178_ILSVRC2012_val_00014650.JPEG
46764,46764_ILSVRC2012_val_00000606.JPEG
