rank,image_path
282,282_ILSVRC2012_val_00009185.JPEG
378,378_ILSVRC2012_val_00042825.JPEG
1090,1090_ILSVRC2012_val_00019964.JPEG
1413,1413_ILSVRC2012_val_00039802.JPEG
2433,2433_ILSVRC2012_val_00021848.JPEG
2471,2471_ILSVRC2012_val_00025273.JPEG
2920,2920_ILSVRC2012_val_00040285.JPEG
3069,3069_ILSVRC2012_val_00015018.JPEG
3152,3152_ILSVRC2012_val_00030878.JPEG
3468,3468_ILSVRC2012_val_00038069.JPEG
3645,3645_ILSVRC2012_val_00035790.JPEG
3718,3718_ILSVRC2012_val_00048575.JPEG
4138,4138_ILSVRC2012_val_00030392.JPEG
4308,4308_ILSVRC2012_val_00036457.JPEG
5252,5252_ILSVRC2012_val_00042760.JPEG
5266,5266_ILSVRC2012_val_00002311.JPEG
5342,5342_ILSVRC2012_val_00017178.JPEG
6583,6583_ILSVRC2012_val_00008523.JPEG
7088,7088_ILSVRC2012_val_00031866.JPEG
7235,7235_ILSVRC2012_val_00034725.JPEG
7920,7920_ILSVRC2012_val_00016264.JPEG
9008,9008_ILSVRC2012_val_00005419.JPEG
9873,9873_ILSVRC2012_val_00029551.JPEG
9878,9878_ILSVRC2012_val_00003324.JPEG
10188,10188_ILSVRC2012_val_00006613.JPEG
11254,11254_ILSVRC2012_val_00043095.JPEG
11866,11866_ILSVRC2012_val_00007334.JPEG
12111,12111_ILSVRC2012_val_00039630.JPEG
12357,12357_ILSVRC2012_val_00018570.JPEG
12543,12543_ILSVRC2012_val_00012166.JPEG
12580,12580_ILSVRC2012_val_00038522.JPEG
13182,13182_ILSVRC2012_val_00007077.JPEG
14707,14707_ILSVRC2012_val_00024635.JPEG
15088,15088_ILSVRC2012_val_00045398.JPEG
16303,16303_ILSVRC2012_val_00001586.JPEG
16713,16713_ILSVRC2012_val_00039102.JPEG
17233,17233_ILSVRC2012_val_00004001.JPEG
17580,17580_ILSVRC2012_val_00041359.JPEG
19909,19909_ILSVRC2012_val_00027708.JPEG
24284,24284_ILSVRC2012_val_00008222.JPEG
24939,24939_ILSVRC2012_val_00012436.JPEG
26737,26737_ILSVRC2012_val_00029510.JPEG
27315,27315_ILSVRC2012_val_00037711.JPEG
27842,27842_ILSVRC2012_val_00046505.JPEG
29848,29848_ILSVRC2012_val_00040664.JPEG
30784,30784_ILSVRC2012_val_00026355.JPEG
33564,33564_ILSVRC2012_val_00049480.JPEG
39515,39515_ILSVRC2012_val_00001073.JPEG
43928,43928_ILSVRC2012_val_00044694.JPEG
45275,45275_ILSVRC2012_val_00044999.JPEG
