rank,image_path
288,288_ILSVRC2012_val_00044202.JPEG
2162,2162_ILSVRC2012_val_00017195.JPEG
4746,4746_ILSVRC2012_val_00013538.JPEG
5358,5358_ILSVRC2012_val_00015607.JPEG
5847,5847_ILSVRC2012_val_00037723.JPEG
6300,6300_ILSVRC2012_val_00019962.JPEG
9915,9915_ILSVRC2012_val_00032767.JPEG
10000,10000_ILSVRC2012_val_00037036.JPEG
11635,11635_ILSVRC2012_val_00015531.JPEG
13788,13788_ILSVRC2012_val_00035473.JPEG
14058,14058_ILSVRC2012_val_00042833.JPEG
17178,17178_ILSVRC2012_val_00024636.JPEG
17217,17217_ILSVRC2012_val_00015152.JPEG
18538,18538_ILSVRC2012_val_00011680.JPEG
18681,18681_ILSVRC2012_val_00018642.JPEG
19548,19548_ILSVRC2012_val_00012827.JPEG
19934,19934_ILSVRC2012_val_00037317.JPEG
20366,20366_ILSVRC2012_val_00044570.JPEG
20579,20579_ILSVRC2012_val_00008679.JPEG
22390,22390_ILSVRC2012_val_00038486.JPEG
22958,22958_ILSVRC2012_val_00002576.JPEG
23373,23373_ILSVRC2012_val_00026417.JPEG
23469,23469_ILSVRC2012_val_00023164.JPEG
24165,24165_ILSVRC2012_val_00044615.JPEG
24291,24291_ILSVRC2012_val_00004397.JPEG
25346,25346_ILSVRC2012_val_00019083.JPEG
26044,26044_ILSVRC2012_val_00044275.JPEG
26252,26252_ILSVRC2012_val_00014645.JPEG
27770,27770_ILSVRC2012_val_00048904.JPEG
28206,28206_ILSVRC2012_val_00023557.JPEG
29815,29815_ILSVRC2012_val_00001286.JPEG
31314,31314_ILSVRC2012_val_00014020.JPEG
31681,31681_ILSVRC2012_val_00032177.JPEG
32053,32053_ILSVRC2012_val_00016484.JPEG
32775,32775_ILSVRC2012_val_00037972.JPEG
33057,33057_ILSVRC2012_val_00000379.JPEG
33786,33786_ILSVRC2012_val_00035381.JPEG
34701,34701_ILSVRC2012_val_00009789.JPEG
34963,34963_ILSVRC2012_val_00044107.JPEG
37411,37411_ILSVRC2012_val_00001852.JPEG
40951,40951_ILSVRC2012_val_00030479.JPEG
40997,40997_ILSVRC2012_val_00030394.JPEG
41848,41848_ILSVRC2012_val_00024431.JPEG
42208,42208_ILSVRC2012_val_00023783.JPEG
43949,43949_ILSVRC2012_val_00007255.JPEG
43999,43999_ILSVRC2012_val_00022682.JPEG
44918,44918_ILSVRC2012_val_00006615.JPEG
45433,45433_ILSVRC2012_val_00033231.JPEG
45516,45516_ILSVRC2012_val_00048476.JPEG
47479,47479_ILSVRC2012_val_00034049.JPEG
