rank,image_path
1580,1580_ILSVRC2012_val_00021263.JPEG
14641,14641_ILSVRC2012_val_00019528.JPEG
14649,14649_ILSVRC2012_val_00019613.JPEG
16725,16725_ILSVRC2012_val_00028303.JPEG
17714,17714_ILSVRC2012_val_00037446.JPEG
17719,17719_ILSVRC2012_val_00030057.JPEG
18399,18399_ILSVRC2012_val_00003091.JPEG
19504,19504_ILSVRC2012_val_00014335.JPEG
21414,21414_ILSVRC2012_val_00034328.JPEG
21734,21734_ILSVRC2012_val_00005444.JPEG
22115,22115_ILSVRC2012_val_00015620.JPEG
22123,22123_ILSVRC2012_val_00023091.JPEG
23262,23262_ILSVRC2012_val_00009761.JPEG
23623,23623_ILSVRC2012_val_00027684.JPEG
24084,24084_ILSVRC2012_val_00015663.JPEG
24950,24950_ILSVRC2012_val_00025329.JPEG
25469,25469_ILSVRC2012_val_00000101.JPEG
25573,25573_ILSVRC2012_val_00030511.JPEG
25694,25694_ILSVRC2012_val_00046126.JPEG
25772,25772_ILSVRC2012_val_00037502.JPEG
27503,27503_ILSVRC2012_val_00044537.JPEG
28611,28611_ILSVRC2012_val_00026332.JPEG
28743,28743_ILSVRC2012_val_00024763.JPEG
29298,29298_ILSVRC2012_val_00044327.JPEG
29889,29889_ILSVRC2012_val_00031819.JPEG
31286,31286_ILSVRC2012_val_00008336.JPEG
31317,31317_ILSVRC2012_val_00008563.JPEG
31788,31788_ILSVRC2012_val_00000223.JPEG
31826,31826_ILSVRC2012_val_00023161.JPEG
31904,31904_ILSVRC2012_val_00036184.JPEG
32742,32742_ILSVRC2012_val_00015896.JPEG
34319,34319_ILSVRC2012_val_00033696.JPEG
34609,34609_ILSVRC2012_val_00026835.JPEG
35149,35149_ILSVRC2012_val_00023278.JPEG
37527,37527_ILSVRC2012_val_00031991.JPEG
39330,39330_ILSVRC2012_val_00033085.JPEG
39523,39523_ILSVRC2012_val_00007202.JPEG
40380,40380_ILSVRC2012_val_00018344.JPEG
40409,40409_ILSVRC2012_val_00019599.JPEG
42615,42615_ILSVRC2012_val_00005430.JPEG
43074,43074_ILSVRC2012_val_00013678.JPEG
43355,43355_ILSVRC2012_val_00002909.JPEG
44486,44486_ILSVRC2012_val_00034830.JPEG
44524,44524_ILSVRC2012_val_00020234.JPEG
45364,45364_ILSVRC2012_val_00012878.JPEG
45722,45722_ILSVRC2012_val_00021257.JPEG
46219,46219_ILSVRC2012_val_00030387.JPEG
46229,46229_ILSVRC2012_val_00003235.JPEG
46476,46476_ILSVRC2012_val_00024606.JPEG
48997,48997_ILSVRC2012_val_00018165.JPEG
