rank,image_path
559,559_ILSVRC2012_val_00023531.JPEG
746,746_ILSVRC2012_val_00034467.JPEG
1121,1121_ILSVRC2012_val_00022912.JPEG
1406,1406_ILSVRC2012_val_00047154.JPEG
2146,2146_ILSVRC2012_val_00004355.JPEG
2755,2755_ILSVRC2012_val_00044586.JPEG
3621,3621_ILSVRC2012_val_00005099.JPEG
3936,3936_ILSVRC2012_val_00037084.JPEG
4211,4211_ILSVRC2012_val_00006945.JPEG
4352,4352_ILSVRC2012_val_00035382.JPEG
5265,5265_ILSVRC2012_val_00021572.JPEG
6787,6787_ILSVRC2012_val_00021490.JPEG
7411,7411_ILSVRC2012_val_00005934.JPEG
8200,8200_ILSVRC2012_val_00004458.JPEG
9290,9290_ILSVRC2012_val_00019103.JPEG
11100,11100_ILSVRC2012_val_00036562.JPEG
11238,11238_ILSVRC2012_val_00021469.JPEG
11307,11307_ILSVRC2012_val_00030690.JPEG
12013,12013_ILSVRC2012_val_00039459.JPEG
12251,12251_ILSVRC2012_val_00017044.JPEG
15682,15682_ILSVRC2012_val_00014497.JPEG
16204,16204_ILSVRC2012_val_00019451.JPEG
16422,16422_ILSVRC2012_val_00007008.JPEG
16471,16471_ILSVRC2012_val_00027108.JPEG
16791,16791_ILSVRC2012_val_00004190.JPEG
17065,17065_ILSVRC2012_val_00047365.JPEG
18558,18558_ILSVRC2012_val_00021520.JPEG
21294,21294_ILSVRC2012_val_00041046.JPEG
21412,21412_ILSVRC2012_val_00038839.JPEG
21914,21914_ILSVRC2012_val_00034322.JPEG
22402,22402_ILSVRC2012_val_00016946.JPEG
26156,26156_ILSVRC2012_val_00018016.JPEG
26855,26855_ILSVRC2012_val_00005637.JPEG
28494,28494_ILSVRC2012_val_00002450.JPEG
28615,28615_ILSVRC2012_val_00045600.JPEG
29379,29379_ILSVRC2012_val_00004842.JPEG
31123,31123_ILSVRC2012_val_00020936.JPEG
32247,32247_ILSVRC2012_val_00041232.JPEG
34666,34666_ILSVRC2012_val_00037693.JPEG
35158,35158_ILSVRC2012_val_00005761.JPEG
36107,36107_ILSVRC2012_val_00019113.JPEG
36635,36635_ILSVRC2012_val_00043766.JPEG
37653,37653_ILSVRC2012_val_00016791.JPEG
40384,40384_ILSVRC2012_val_00019129.JPEG
42730,42730_ILSVRC2012_val_00040730.JPEG
42769,42769_ILSVRC2012_val_00019432.JPEG
47554,47554_ILSVRC2012_val_00019469.JPEG
48532,48532_ILSVRC2012_val_00035531.JPEG
48808,48808_ILSVRC2012_val_00037115.JPEG
49354,49354_ILSVRC2012_val_00009955.JPEG
