rank,image_path
396,396_ILSVRC2012_val_00010677.JPEG
594,594_ILSVRC2012_val_00047351.JPEG
661,661_ILSVRC2012_val_00012425.JPEG
1457,1457_ILSVRC2012_val_00012092.JPEG
1698,1698_ILSVRC2012_val_00031605.JPEG
2562,2562_ILSVRC2012_val_00020372.JPEG
3205,3205_ILSVRC2012_val_00011955.JPEG
3706,3706_ILSVRC2012_val_00025953.JPEG
3945,3945_ILSVRC2012_val_00042821.JPEG
4474,4474_ILSVRC2012_val_00012473.JPEG
4736,4736_ILSVRC2012_val_00018278.JPEG
4795,4795_ILSVRC2012_val_00038000.JPEG
4845,4845_ILSVRC2012_val_00003372.JPEG
4869,4869_ILSVRC2012_val_00004399.JPEG
5173,5173_ILSVRC2012_val_00046835.JPEG
6254,6254_ILSVRC2012_val_00018623.JPEG
6444,6444_ILSVRC2012_val_00027310.JPEG
6744,6744_ILSVRC2012_val_00026270.JPEG
7008,7008_ILSVRC2012_val_00049671.JPEG
7158,7158_ILSVRC2012_val_00040992.JPEG
7169,7169_ILSVRC2012_val_00003090.JPEG
7223,7223_ILSVRC2012_val_00000215.JPEG
7532,7532_ILSVRC2012_val_00003365.JPEG
8339,8339_ILSVRC2012_val_00003527.JPEG
8791,8791_ILSVRC2012_val_00031895.JPEG
9262,9262_ILSVRC2012_val_00013186.JPEG
9757,9757_ILSVRC2012_val_00009967.JPEG
10107,10107_ILSVRC2012_val_00000213.JPEG
10328,10328_ILSVRC2012_val_00030513.JPEG
12708,12708_ILSVRC2012_val_00027104.JPEG
13626,13626_ILSVRC2012_val_00032105.JPEG
13631,13631_ILSVRC2012_val_00023349.JPEG
14459,14459_ILSVRC2012_val_00021494.JPEG
14696,14696_ILSVRC2012_val_00016380.JPEG
14865,14865_ILSVRC2012_val_00044747.JPEG
16234,16234_ILSVRC2012_val_00048555.JPEG
18218,18218_ILSVRC2012_val_00004116.JPEG
20107,20107_ILSVRC2012_val_00011916.JPEG
20584,20584_ILSVRC2012_val_00000352.JPEG
22136,22136_ILSVRC2012_val_00021101.JPEG
23319,23319_ILSVRC2012_val_00048270.JPEG
25213,25213_ILSVRC2012_val_00001787.JPEG
25514,25514_ILSVRC2012_val_00044106.JPEG
28912,28912_ILSVRC2012_val_00009137.JPEG
38425,38425_ILSVRC2012_val_00048135.JPEG
38752,38752_ILSVRC2012_val_00012763.JPEG
39580,39580_ILSVRC2012_val_00005378.JPEG
41038,41038_ILSVRC2012_val_00028488.JPEG
44445,44445_ILSVRC2012_val_00036522.JPEG
44816,44816_ILSVRC2012_val_00049299.JPEG
