rank,image_path
1050,1050_ILSVRC2012_val_00002963.JPEG
2079,2079_ILSVRC2012_val_00046157.JPEG
2333,2333_ILSVRC2012_val_00030839.JPEG
2577,2577_ILSVRC2012_val_00020081.JPEG
4241,4241_ILSVRC2012_val_00014228.JPEG
5116,5116_ILSVRC2012_val_00029656.JPEG
7092,7092_ILSVRC2012_val_00013921.JPEG
7112,7112_ILSVRC2012_val_00007034.JPEG
11566,11566_ILSVRC2012_val_00019491.JPEG
12440,12440_ILSVRC2012_val_00030024.JPEG
13229,13229_ILSVRC2012_val_00028053.JPEG
13620,13620_ILSVRC2012_val_00041988.JPEG
13685,13685_ILSVRC2012_val_00001299.JPEG
15514,15514_ILSVRC2012_val_00007407.JPEG
17097,17097_ILSVRC2012_val_00011194.JPEG
17995,17995_ILSVRC2012_val_00038368.JPEG
19779,19779_ILSVRC2012_val_00014297.JPEG
19986,19986_ILSVRC2012_val_00038207.JPEG
21423,21423_ILSVRC2012_val_00003385.JPEG
21930,21930_ILSVRC2012_val_00038892.JPEG
24390,24390_ILSVRC2012_val_00015970.JPEG
24400,24400_ILSVRC2012_val_00044638.JPEG
24724,24724_ILSVRC2012_val_00038532.JPEG
25791,25791_ILSVRC2012_val_00039003.JPEG
25954,25954_ILSVRC2012_val_00002392.JPEG
28067,28067_ILSVRC2012_val_00009915.JPEG
28624,28624_ILSVRC2012_val_00003338.JPEG
30033,30033_ILSVRC2012_val_00012417.JPEG
31679,31679_ILSVRC2012_val_00024482.JPEG
31759,31759_ILSVRC2012_val_00047269.JPEG
32179,32179_ILSVRC2012_val_00022917.JPEG
32282,32282_ILSVRC2012_val_00013562.JPEG
32395,32395_ILSVRC2012_val_00006655.JPEG
34955,34955_ILSVRC2012_val_00025850.JPEG
38076,38076_ILSVRC2012_val_00034093.JPEG
38326,38326_ILSVRC2012_val_00048312.JPEG
39019,39019_ILSVRC2012_val_00013156.JPEG
39199,39199_ILSVRC2012_val_00031701.JPEG
39303,39303_ILSVRC2012_val_00019310.JPEG
40822,40822_ILSVRC2012_val_00008307.JPEG
40999,40999_ILSVRC2012_val_00045038.JPEG
42812,42812_ILSVRC2012_val_00013629.JPEG
42994,42994_ILSVRC2012_val_00034450.JPEG
43580,43580_ILSVRC2012_val_00000061.JPEG
44794,44794_ILSVRC2012_val_00029879.JPEG
45691,45691_ILSVRC2012_val_00016246.JPEG
46598,46598_ILSVRC2012_val_00003718.JPEG
48786,48786_ILSVRC2012_val_00049556.JPEG
49104,49104_ILSVRC2012_val_00010467.JPEG
49416,49416_ILSVRC2012_val_00000982.JPEG
