rank,image_path
229,229_ILSVRC2012_val_00020337.JPEG
984,984_ILSVRC2012_val_00046263.JPEG
1533,1533_ILSVRC2012_val_00020734.JPEG
2211,2211_ILSVRC2012_val_00006344.JPEG
4222,4222_ILSVRC2012_val_00015138.JPEG
4399,4399_ILSVRC2012_val_00047792.JPEG
5145,5145_ILSVRC2012_val_00004484.JPEG
5290,5290_ILSVRC2012_val_00011199.JPEG
5398,5398_ILSVRC2012_val_00013846.JPEG
6294,6294_ILSVRC2012_val_00008293.JPEG
6739,6739_ILSVRC2012_val_00047099.JPEG
6791,6791_ILSVRC2012_val_00011195.JPEG
7289,7289_ILSVRC2012_val_00020077.JPEG
9434,9434_ILSVRC2012_val_00049670.JPEG
9774,9774_ILSVRC2012_val_00007637.JPEG
9829,9829_ILSVRC2012_val_00016271.JPEG
10630,10630_ILSVRC2012_val_00000074.JPEG
10823,10823_ILSVRC2012_val_00015147.JPEG
11000,11000_ILSVRC2012_val_00017990.JPEG
11037,11037_ILSVRC2012_val_00030310.JPEG
11172,11172_ILSVRC2012_val_00011602.JPEG
11543,11543_ILSVRC2012_val_00032898.JPEG
11893,11893_ILSVRC2012_val_00010837.JPEG
11985,11985_ILSVRC2012_val_00008914.JPEG
12556,12556_ILSVRC2012_val_00047790.JPEG
13948,13948_ILSVRC2012_val_00012715.JPEG
14449,14449_ILSVRC2012_val_00026303.JPEG
14768,14768_ILSVRC2012_val_00021189.JPEG
14789,14789_ILSVRC2012_val_00047111.JPEG
14870,14870_ILSVRC2012_val_00040917.JPEG
14888,14888_ILSVRC2012_val_00032969.JPEG
15220,15220_ILSVRC2012_val_00023992.JPEG
15893,15893_ILSVRC2012_val_00012675.JPEG
17032,17032_ILSVRC2012_val_00040277.JPEG
17140,17140_ILSVRC2012_val_00039037.JPEG
17586,17586_ILSVRC2012_val_00019199.JPEG
17974,17974_ILSVRC2012_val_00016573.JPEG
18857,18857_ILSVRC2012_val_00044864.JPEG
19520,19520_ILSVRC2012_val_00031350.JPEG
20804,20804_ILSVRC2012_val_00009011.JPEG
22262,22262_ILSVRC2012_val_00010578.JPEG
23376,23376_ILSVRC2012_val_00039383.JPEG
23553,23553_ILSVRC2012_val_00012851.JPEG
23914,23914_ILSVRC2012_val_00012278.JPEG
26447,26447_ILSVRC2012_val_00031566.JPEG
30080,30080_ILSVRC2012_val_00043579.JPEG
31149,31149_ILSVRC2012_val_00005552.JPEG
33470,33470_ILSVRC2012_val_00019102.JPEG
35855,35855_ILSVRC2012_val_00019819.JPEG
40381,40381_ILSVRC2012_val_00033090.JPEG
