rank,image_path
1034,1034_ILSVRC2012_val_00000089.JPEG
1827,1827_ILSVRC2012_val_00010737.JPEG
2466,2466_ILSVRC2012_val_00006156.JPEG
2558,2558_ILSVRC2012_val_00005705.JPEG
5359,5359_ILSVRC2012_val_00023929.JPEG
5920,5920_ILSVRC2012_val_00036024.JPEG
7378,7378_ILSVRC2012_val_00033180.JPEG
10234,10234_ILSVRC2012_val_00030872.JPEG
14401,14401_ILSVRC2012_val_00011809.JPEG
15317,15317_ILSVRC2012_val_00020233.JPEG
15327,15327_ILSVRC2012_val_00008314.JPEG
17916,17916_ILSVRC2012_val_00039592.JPEG
17956,17956_ILSVRC2012_val_00046613.JPEG
17981,17981_ILSVRC2012_val_00010101.JPEG
18172,18172_ILSVRC2012_val_00047006.JPEG
18173,18173_ILSVRC2012_val_00034755.JPEG
18666,18666_ILSVRC2012_val_00016828.JPEG
18791,18791_ILSVRC2012_val_00019685.JPEG
20483,20483_ILSVRC2012_val_00013031.JPEG
22110,22110_ILSVRC2012_val_00032046.JPEG
23294,23294_ILSVRC2012_val_00049503.JPEG
23868,23868_ILSVRC2012_val_00008583.JPEG
24008,24008_ILSVRC2012_val_00017262.JPEG
25115,25115_ILSVRC2012_val_00033654.JPEG
25790,25790_ILSVRC2012_val_00003469.JPEG
28982,28982_ILSVRC2012_val_00010353.JPEG
30501,30501_ILSVRC2012_val_00047946.JPEG
30616,30616_ILSVRC2012_val_00046512.JPEG
30894,30894_ILSVRC2012_val_00000257.JPEG
32917,32917_ILSVRC2012_val_00039425.JPEG
34402,34402_ILSVRC2012_val_00017833.JPEG
34587,34587_ILSVRC2012_val_00039932.JPEG
34996,34996_ILSVRC2012_val_00028116.JPEG
35082,35082_ILSVRC2012_val_00010788.JPEG
35380,35380_ILSVRC2012_val_00039245.JPEG
35567,35567_ILSVRC2012_val_00004117.JPEG
36151,36151_ILSVRC2012_val_00011346.JPEG
36476,36476_ILSVRC2012_val_00008541.JPEG
37966,37966_ILSVRC2012_val_00014562.JPEG
39208,39208_ILSVRC2012_val_00024979.JPEG
39518,39518_ILSVRC2012_val_00035610.JPEG
41188,41188_ILSVRC2012_val_00028501.JPEG
42661,42661_ILSVRC2012_val_00020206.JPEG
44394,44394_ILSVRC2012_val_00005688.JPEG
45251,45251_ILSVRC2012_val_00031438.JPEG
45854,45854_ILSVRC2012_val_00002114.JPEG
46877,46877_ILSVRC2012_val_00026822.JPEG
47557,47557_ILSVRC2012_val_00037257.JPEG
47983,47983_ILSVRC2012_val_00043042.JPEG
49446,49446_ILSVRC2012_val_00045128.JPEG
