rank,image_path
648,648_ILSVRC2012_val_00011704.JPEG
1454,1454_ILSVRC2012_val_00014858.JPEG
2043,2043_ILSVRC2012_val_00005536.JPEG
2769,2769_ILSVRC2012_val_00044649.JPEG
4701,4701_ILSVRC2012_val_00038833.JPEG
4989,4989_ILSVRC2012_val_00034289.JPEG
5681,5681_ILSVRC2012_val_00004841.JPEG
9238,9238_ILSVRC2012_val_00042932.JPEG
9944,9944_ILSVRC2012_val_00014417.JPEG
12067,12067_ILSVRC2012_val_00038504.JPEG
12855,12855_ILSVRC2012_val_00015641.JPEG
14100,14100_ILSVRC2012_val_00023431.JPEG
16775,16775_ILSVRC2012_val_00018119.JPEG
17110,17110_ILSVRC2012_val_00016872.JPEG
17292,17292_ILSVRC2012_val_00010906.JPEG
19532,19532_ILSVRC2012_val_00025287.JPEG
19783,19783_ILSVRC2012_val_00023476.JPEG
20311,20311_ILSVRC2012_val_00017806.JPEG
20811,20811_ILSVRC2012_val_00020046.JPEG
21161,21161_ILSVRC2012_val_00033423.JPEG
21753,21753_ILSVRC2012_val_00030825.JPEG
22304,22304_ILSVRC2012_val_00020456.JPEG
22780,22780_ILSVRC2012_val_00013388.JPEG
23464,23464_ILSVRC2012_val_00036077.JPEG
23674,23674_ILSVRC2012_val_00011861.JPEG
24302,24302_ILSVRC2012_val_00020950.JPEG
25283,25283_ILSVRC2012_val_00047031.JPEG
25667,25667_ILSVRC2012_val_00019211.JPEG
25718,25718_ILSVRC2012_val_00039488.JPEG
26744,26744_ILSVRC2012_val_00047338.JPEG
27549,27549_ILSVRC2012_val_00005072.JPEG
30390,30390_ILSVRC2012_val_00039704.JPEG
33505,33505_ILSVRC2012_val_00027076.JPEG
33594,33594_ILSVRC2012_val_00032970.JPEG
33908,33908_ILSVRC2012_val_00003981.JPEG
34923,34923_ILSVRC2012_val_00004136.JPEG
35314,35314_ILSVRC2012_val_00021705.JPEG
35370,35370_ILSVRC2012_val_00023052.JPEG
36389,36389_ILSVRC2012_val_00011629.JPEG
37998,37998_ILSVRC2012_val_00022081.JPEG
38164,38164_ILSVRC2012_val_00028689.JPEG
38419,38419_ILSVRC2012_val_00009716.JPEG
38804,38804_ILSVRC2012_val_00035667.JPEG
39516,39516_ILSVRC2012_val_00014978.JPEG
39852,39852_ILSVRC2012_val_00016866.JPEG
40000,40000_ILSVRC2012_val_00040763.JPEG
44674,44674_ILSVRC2012_val_00046006.JPEG
45453,45453_ILSVRC2012_val_00028449.JPEG
47328,47328_ILSVRC2012_val_00047329.JPEG
47821,47821_ILSVRC2012_val_00046086.JPEG
