rank,image_path
985,985_ILSVRC2012_val_00018812.JPEG
1067,1067_ILSVRC2012_val_00013129.JPEG
1284,1284_ILSVRC2012_val_00002718.JPEG
1669,1669_ILSVRC2012_val_00023909.JPEG
2060,2060_ILSVRC2012_val_00047021.JPEG
2458,2458_ILSVRC2012_val_00030969.JPEG
2932,2932_ILSVRC2012_val_00007031.JPEG
3819,3819_ILSVRC2012_val_00033988.JPEG
4611,4611_ILSVRC2012_val_00020305.JPEG
4764,4764_ILSVRC2012_val_00037412.JPEG
5926,5926_ILSVRC2012_val_00000348.JPEG
6053,6053_ILSVRC2012_val_00029216.JPEG
6064,6064_ILSVRC2012_val_00008094.JPEG
7209,7209_ILSVRC2012_val_00013656.JPEG
8163,8163_ILSVRC2012_val_00009133.JPEG
8212,8212_ILSVRC2012_val_00044463.JPEG
8443,8443_ILSVRC2012_val_00005006.JPEG
8579,8579_ILSVRC2012_val_00041740.JPEG
9383,9383_ILSVRC2012_val_00022161.JPEG
10277,10277_ILSVRC2012_val_00040790.JPEG
10509,10509_ILSVRC2012_val_00025336.JPEG
12220,12220_ILSVRC2012_val_00017732.JPEG
12477,12477_ILSVRC2012_val_00006239.JPEG
12509,12509_ILSVRC2012_val_00038707.JPEG
12983,12983_ILSVRC2012_val_00041645.JPEG
13177,13177_ILSVRC2012_val_00022327.JPEG
13188,13188_ILSVRC2012_val_00019433.JPEG
13946,13946_ILSVRC2012_val_00018743.JPEG
14379,14379_ILSVRC2012_val_00033338.JPEG
15476,15476_ILSVRC2012_val_00017208.JPEG
16255,16255_ILSVRC2012_val_00018233.JPEG
17057,17057_ILSVRC2012_val_00040323.JPEG
17342,17342_ILSVRC2012_val_00039516.JPEG
17663,17663_ILSVRC2012_val_00014974.JPEG
17876,17876_ILSVRC2012_val_00033907.JPEG
18561,18561_ILSVRC2012_val_00007606.JPEG
18917,18917_ILSVRC2012_val_00021006.JPEG
19466,19466_ILSVRC2012_val_00021920.JPEG
19614,19614_ILSVRC2012_val_00041415.JPEG
21569,21569_ILSVRC2012_val_00018205.JPEG
24050,24050_ILSVRC2012_val_00001060.JPEG
25845,25845_ILSVRC2012_val_00033042.JPEG
27606,27606_ILSVRC2012_val_00006341.JPEG
28614,28614_ILSVRC2012_val_00026943.JPEG
29573,29573_ILSVRC2012_val_00031348.JPEG
31727,31727_ILSVRC2012_val_00041296.JPEG
31816,31816_ILSVRC2012_val_00035388.JPEG
36497,36497_ILSVRC2012_val_00033687.JPEG
46908,46908_ILSVRC2012_val_00003773.JPEG
49384,49384_ILSVRC2012_val_00039217.JPEG
