rank,image_path
4983,4983_ILSVRC2012_val_00017783.JPEG
7188,7188_ILSVRC2012_val_00036229.JPEG
7748,7748_ILSVRC2012_val_00034220.JPEG
7990,7990_ILSVRC2012_val_00033509.JPEG
10488,10488_ILSVRC2012_val_00042207.JPEG
13799,13799_ILSVRC2012_val_00009705.JPEG
17326,17326_ILSVRC2012_val_00046550.JPEG
17919,17919_ILSVRC2012_val_00004912.JPEG
19036,19036_ILSVRC2012_val_00005295.JPEG
19281,19281_ILSVRC2012_val_00016854.JPEG
20421,20421_ILSVRC2012_val_00027385.JPEG
20996,20996_ILSVRC2012_val_00029728.JPEG
21003,21003_ILSVRC2012_val_00049943.JPEG
22512,22512_ILSVRC2012_val_00024897.JPEG
24127,24127_ILSVRC2012_val_00016873.JPEG
25272,25272_ILSVRC2012_val_00042264.JPEG
26294,26294_ILSVRC2012_val_00003682.JPEG
27007,27007_ILSVRC2012_val_00016542.JPEG
27253,27253_ILSVRC2012_val_00026451.JPEG
28177,28177_ILSVRC2012_val_00016832.JPEG
28453,28453_ILSVRC2012_val_00044414.JPEG
29623,29623_ILSVRC2012_val_00010770.JPEG
31265,31265_ILSVRC2012_val_00006268.JPEG
32106,32106_ILSVRC2012_val_00015155.JPEG
32115,32115_ILSVRC2012_val_00004939.JPEG
32449,32449_ILSVRC2012_val_00003351.JPEG
32755,32755_ILSVRC2012_val_00014037.JPEG
32928,32928_ILSVRC2012_val_00033568.JPEG
36323,36323_ILSVRC2012_val_00028310.JPEG
36741,36741_ILSVRC2012_val_00005598.JPEG
36952,36952_ILSVRC2012_val_00016949.JPEG
37792,37792_ILSVRC2012_val_00023000.JPEG
38457,38457_ILSVRC2012_val_00034021.JPEG
39575,39575_ILSVRC2012_val_00048382.JPEG
39666,39666_ILSVRC2012_val_00029870.JPEG
40866,40866_ILSVRC2012_val_00031446.JPEG
41645,41645_ILSVRC2012_val_00023291.JPEG
42914,42914_ILSVRC2012_val_00039477.JPEG
43772,43772_ILSVRC2012_val_00019711.JPEG
44184,44184_ILSVRC2012_val_00019331.JPEG
45105,45105_ILSVRC2012_val_00039053.JPEG
45683,45683_ILSVRC2012_val_00017198.JPEG
47067,47067_ILSVRC2012_val_00048853.JPEG
47322,47322_ILSVRC2012_val_00008116.JPEG
47359,47359_ILSVRC2012_val_00034534.JPEG
48200,48200_ILSVRC2012_val_00035753.JPEG
48285,48285_ILSVRC2012_val_00039506.JPEG
48618,48618_ILSVRC2012_val_00007400.JPEG
49288,49288_ILSVRC2012_val_00023619.JPEG
49707,49707_ILSVRC2012_val_00046232.JPEG
