rank,image_path
19,19_ILSVRC2012_val_00002649.JPEG
845,845_ILSVRC2012_val_00039898.JPEG
967,967_ILSVRC2012_val_00018161.JPEG
982,982_ILSVRC2012_val_00026323.JPEG
1886,1886_ILSVRC2012_val_00034839.JPEG
2154,2154_ILSVRC2012_val_00008798.JPEG
2209,2209_ILSVRC2012_val_00003876.JPEG
3491,3491_ILSVRC2012_val_00038090.JPEG
3522,3522_ILSVRC2012_val_00026040.JPEG
3792,3792_ILSVRC2012_val_00023381.JPEG
4583,4583_ILSVRC2012_val_00030829.JPEG
6104,6104_ILSVRC2012_val_00040805.JPEG
6286,6286_ILSVRC2012_val_00041431.JPEG
6603,6603_ILSVRC2012_val_00037610.JPEG
6849,6849_ILSVRC2012_val_00026567.JPEG
7330,7330_ILSVRC2012_val_00004284.JPEG
8237,8237_ILSVRC2012_val_00028250.JPEG
9106,9106_ILSVRC2012_val_00019151.JPEG
9231,9231_ILSVRC2012_val_00017593.JPEG
9865,9865_ILSVRC2012_val_00003487.JPEG
10355,10355_ILSVRC2012_val_00035308.JPEG
11826,11826_ILSVRC2012_val_00034900.JPEG
11927,11927_ILSVRC2012_val_00005778.JPEG
11980,11980_ILSVRC2012_val_00044407.JPEG
14502,14502_ILSVRC2012_val_00045442.JPEG
15062,15062_ILSVRC2012_val_00024167.JPEG
15370,15370_ILSVRC2012_val_00024417.JPEG
15429,15429_ILSVRC2012_val_00044514.JPEG
16669,16669_ILSVRC2012_val_00039744.JPEG
17387,17387_ILSVRC2012_val_00017139.JPEG
18409,18409_ILSVRC2012_val_00017848.JPEG
18800,18800_ILSVRC2012_val_00041528.JPEG
19510,19510_ILSVRC2012_val_00024250.JPEG
20258,20258_ILSVRC2012_val_00038728.JPEG
21683,21683_ILSVRC2012_val_00010562.JPEG
21693,21693_ILSVRC2012_val_00005538.JPEG
22437,22437_ILSVRC2012_val_00019811.JPEG
22696,22696_ILSVRC2012_val_00006532.JPEG
25462,25462_ILSVRC2012_val_00044314.JPEG
25501,25501_ILSVRC2012_val_00042557.JPEG
25779,25779_ILSVRC2012_val_00012629.JPEG
26256,26256_ILSVRC2012_val_00032172.JPEG
27873,27873_ILSVRC2012_val_00028068.JPEG
29369,29369_ILSVRC2012_val_00045569.JPEG
30973,30973_ILSVRC2012_val_00012124.JPEG
31054,31054_ILSVRC2012_val_00017399.JPEG
31550,31550_ILSVRC2012_val_00041190.JPEG
35005,35005_ILSVRC2012_val_00016480.JPEG
41330,41330_ILSVRC2012_val_00024538.JPEG
43642,43642_ILSVRC2012_val_00042251.JPEG
