rank,image_path
2119,2119_ILSVRC2012_val_00015370.JPEG
2418,2418_ILSVRC2012_val_00027725.JPEG
5470,5470_ILSVRC2012_val_00014372.JPEG
6677,6677_ILSVRC2012_val_00037675.JPEG
6934,6934_ILSVRC2012_val_00022945.JPEG
10133,10133_ILSVRC2012_val_00014990.JPEG
11987,11987_ILSVRC2012_val_00034704.JPEG
12166,12166_ILSVRC2012_val_00006003.JPEG
14467,14467_ILSVRC2012_val_00002586.JPEG
16431,16431_ILSVRC2012_val_00019898.JPEG
18084,18084_ILSVRC2012_val_00000086.JPEG
18351,18351_ILSVRC2012_val_00025735.JPEG
19384,19384_ILSVRC2012_val_00000738.JPEG
19573,19573_ILSVRC2012_val_00020549.JPEG
20989,20989_ILSVRC2012_val_00017001.JPEG
21896,21896_ILSVRC2012_val_00016574.JPEG
23340,23340_ILSVRC2012_val_00040566.JPEG
24553,24553_ILSVRC2012_val_00040840.JPEG
24781,24781_ILSVRC2012_val_00042815.JPEG
27909,27909_ILSVRC2012_val_00019878.JPEG
28189,28189_ILSVRC2012_val_00047360.JPEG
30144,30144_ILSVRC2012_val_00029305.JPEG
30287,30287_ILSVRC2012_val_00001894.JPEG
30838,30838_ILSVRC2012_val_00028502.JPEG
31420,31420_ILSVRC2012_val_00004807.JPEG
31685,31685_ILSVRC2012_val_00031248.JPEG
32477,32477_ILSVRC2012_val_00006188.JPEG
33207,33207_ILSVRC2012_val_00047771.JPEG
34879,34879_ILSVRC2012_val_00003453.JPEG
35054,35054_ILSVRC2012_val_00000532.JPEG
35667,35667_ILSVRC2012_val_00026473.JPEG
36292,36292_ILSVRC2012_val_00025054.JPEG
36360,36360_ILSVRC2012_val_00034810.JPEG
36755,36755_ILSVRC2012_val_00041956.JPEG
37078,37078_ILSVRC2012_val_00027487.JPEG
39027,39027_ILSVRC2012_val_00046956.JPEG
39198,39198_ILSVRC2012_val_00028637.JPEG
41075,41075_ILSVRC2012_val_00030890.JPEG
42561,42561_ILSVRC2012_val_00046675.JPEG
43531,43531_ILSVRC2012_val_00040393.JPEG
43749,43749_ILSVRC2012_val_00012487.JPEG
44592,44592_ILSVRC2012_val_00022304.JPEG
44843,44843_ILSVRC2012_val_00036856.JPEG
47050,47050_ILSVRC2012_val_00041963.JPEG
47132,47132_ILSVRC2012_val_00030652.JPEG
47194,47194_ILSVRC2012_val_00025487.JPEG
47262,47262_ILSVRC2012_val_00024311.JPEG
47393,47393_ILSVRC2012_val_00007133.JPEG
48440,48440_ILSVRC2012_val_00015013.JPEG
48897,48897_ILSVRC2012_val_00034561.JPEG
