rank,image_path
808,808_ILSVRC2012_val_00001223.JPEG
843,843_ILSVRC2012_val_00026367.JPEG
1523,1523_ILSVRC2012_val_00008527.JPEG
1696,1696_ILSVRC2012_val_00048396.JPEG
2009,2009_ILSVRC2012_val_00047361.JPEG
2590,2590_ILSVRC2012_val_00026056.JPEG
2729,2729_ILSVRC2012_val_00040308.JPEG
2762,2762_ILSVRC2012_val_00032124.JPEG
3480,3480_ILSVRC2012_val_00019919.JPEG
3517,3517_ILSVRC2012_val_00047295.JPEG
3688,3688_ILSVRC2012_val_00048439.JPEG
4771,4771_ILSVRC2012_val_00026353.JPEG
5196,5196_ILSVRC2012_val_00006063.JPEG
6209,6209_ILSVRC2012_val_00008619.JPEG
6354,6354_ILSVRC2012_val_00000716.JPEG
8854,8854_ILSVRC2012_val_00030747.JPEG
9065,9065_ILSVRC2012_val_00044059.JPEG
9887,9887_ILSVRC2012_val_00025551.JPEG
10382,10382_ILSVRC2012_val_00040291.JPEG
11041,11041_ILSVRC2012_val_00009291.JPEG
11132,11132_ILSVRC2012_val_00025471.JPEG
11138,11138_ILSVRC2012_val_00031640.JPEG
11142,11142_ILSVRC2012_val_00018827.JPEG
11352,11352_ILSVRC2012_val_00030261.JPEG
11562,11562_ILSVRC2012_val_00008368.JPEG
11621,11621_ILSVRC2012_val_00026370.JPEG
12624,12624_ILSVRC2012_val_00036977.JPEG
14142,14142_ILSVRC2012_val_00021360.JPEG
14744,14744_ILSVRC2012_val_00049805.JPEG
15114,15114_ILSVRC2012_val_00015213.JPEG
15919,15919_ILSVRC2012_val_00005994.JPEG
16236,16236_ILSVRC2012_val_00032975.JPEG
17475,17475_ILSVRC2012_val_00028321.JPEG
20724,20724_ILSVRC2012_val_00011077.JPEG
21803,21803_ILSVRC2012_val_00000643.JPEG
22510,22510_ILSVRC2012_val_00009757.JPEG
23406,23406_ILSVRC2012_val_00030540.JPEG
25078,25078_ILSVRC2012_val_00031411.JPEG
26499,26499_ILSVRC2012_val_00025549.JPEG
29450,29450_ILSVRC2012_val_00015116.JPEG
29490,29490_ILSVRC2012_val_00030705.JPEG
29594,29594_ILSVRC2012_val_00001944.JPEG
29991,29991_ILSVRC2012_val_00035378.JPEG
30241,30241_ILSVRC2012_val_00012928.JPEG
30319,30319_ILSVRC2012_val_00006827.JPEG
31791,31791_ILSVRC2012_val_00023735.JPEG
33696,33696_ILSVRC2012_val_00038828.JPEG
45003,45003_ILSVRC2012_val_00008944.JPEG
45342,45342_ILSVRC2012_val_00045011.JPEG
47324,47324_ILSVRC2012_val_00003301.JPEG
