rank,image_path
444,444_ILSVRC2012_val_00043387.JPEG
685,685_ILSVRC2012_val_00037070.JPEG
3928,3928_ILSVRC2012_val_00019721.JPEG
4183,4183_ILSVRC2012_val_00046393.JPEG
4806,4806_ILSVRC2012_val_00027207.JPEG
8728,8728_ILSVRC2012_val_00014090.JPEG
9790,9790_ILSVRC2012_val_00003606.JPEG
10127,10127_ILSVRC2012_val_00028221.JPEG
10180,10180_ILSVRC2012_val_00038826.JPEG
10952,10952_ILSVRC2012_val_00046524.JPEG
11084,11084_ILSVRC2012_val_00003605.JPEG
11518,11518_ILSVRC2012_val_00027351.JPEG
11867,11867_ILSVRC2012_val_00036368.JPEG
12409,12409_ILSVRC2012_val_00011403.JPEG
12886,12886_ILSVRC2012_val_00049181.JPEG
13250,13250_ILSVRC2012_val_00020106.JPEG
13558,13558_ILSVRC2012_val_00047724.JPEG
15535,15535_ILSVRC2012_val_00020451.JPEG
16098,16098_ILSVRC2012_val_00004550.JPEG
16213,16213_ILSVRC2012_val_00043751.JPEG
16507,16507_ILSVRC2012_val_00023551.JPEG
20232,20232_ILSVRC2012_val_00035151.JPEG
22811,22811_ILSVRC2012_val_00009219.JPEG
24518,24518_ILSVRC2012_val_00024957.JPEG
25620,25620_ILSVRC2012_val_00025431.JPEG
27748,27748_ILSVRC2012_val_00004306.JPEG
29748,29748_ILSVRC2012_val_00009510.JPEG
30370,30370_ILSVRC2012_val_00022025.JPEG
31258,31258_ILSVRC2012_val_00035104.JPEG
31852,31852_ILSVRC2012_val_00005505.JPEG
32403,32403_ILSVRC2012_val_00016781.JPEG
32516,32516_ILSVRC2012_val_00005492.JPEG
33852,33852_ILSVRC2012_val_00016052.JPEG
36664,36664_ILSVRC2012_val_00000329.JPEG
37631,37631_ILSVRC2012_val_00019101.JPEG
40796,40796_ILSVRC2012_val_00037569.JPEG
41703,41703_ILSVRC2012_val_00012484.JPEG
41890,41890_ILSVRC2012_val_00019423.JPEG
42267,42267_ILSVRC2012_val_00028712.JPEG
42424,42424_ILSVRC2012_val_00009663.JPEG
43239,43239_ILSVRC2012_val_00004463.JPEG
43711,43711_ILSVRC2012_val_00015242.JPEG
44262,44262_ILSVRC2012_val_00003936.JPEG
44325,44325_ILSVRC2012_val_00022248.JPEG
45559,45559_ILSVRC2012_val_00000911.JPEG
47008,47008_ILSVRC2012_val_00010208.JPEG
47061,47061_ILSVRC2012_val_00029921.JPEG
48685,48685_ILSVRC2012_val_00045107.JPEG
48700,48700_ILSVRC2012_val_00048952.JPEG
49945,49945_ILSVRC2012_val_00047137.JPEG
