rank,image_path
225,225_ILSVRC2012_val_00017104.JPEG
4867,4867_ILSVRC2012_val_00048469.JPEG
5013,5013_ILSVRC2012_val_00017713.JPEG
5374,5374_ILSVRC2012_val_00028661.JPEG
8344,8344_ILSVRC2012_val_00044730.JPEG
11353,11353_ILSVRC2012_val_00014573.JPEG
13017,13017_ILSVRC2012_val_00041928.JPEG
14469,14469_ILSVRC2012_val_00001663.JPEG
14498,14498_ILSVRC2012_val_00003530.JPEG
14971,14971_ILSVRC2012_val_00018596.JPEG
16271,16271_ILSVRC2012_val_00034219.JPEG
16425,16425_ILSVRC2012_val_00040400.JPEG
17474,17474_ILSVRC2012_val_00000524.JPEG
18253,18253_ILSVRC2012_val_00012326.JPEG
18476,18476_ILSVRC2012_val_00034933.JPEG
18617,18617_ILSVRC2012_val_00016093.JPEG
18733,18733_ILSVRC2012_val_00044890.JPEG
18823,18823_ILSVRC2012_val_00034948.JPEG
21108,21108_ILSVRC2012_val_00020593.JPEG
21669,21669_ILSVRC2012_val_00049326.JPEG
22063,22063_ILSVRC2012_val_00016445.JPEG
22899,22899_ILSVRC2012_val_00023859.JPEG
23935,23935_ILSVRC2012_val_00002097.JPEG
24739,24739_ILSVRC2012_val_00026152.JPEG
24783,24783_ILSVRC2012_val_00032410.JPEG
25527,25527_ILSVRC2012_val_00004995.JPEG
26683,26683_ILSVRC2012_val_00045827.JPEG
28309,28309_ILSVRC2012_val_00026356.JPEG
30008,30008_ILSVRC2012_val_00012155.JPEG
30038,30038_ILSVRC2012_val_00003729.JPEG
30181,30181_ILSVRC2012_val_00028292.JPEG
32113,32113_ILSVRC2012_val_00013682.JPEG
32652,32652_ILSVRC2012_val_00030798.JPEG
32747,32747_ILSVRC2012_val_00008119.JPEG
33103,33103_ILSVRC2012_val_00015303.JPEG
34284,34284_ILSVRC2012_val_00046143.JPEG
34505,34505_ILSVRC2012_val_00017742.JPEG
34540,34540_ILSVRC2012_val_00023133.JPEG
34541,34541_ILSVRC2012_val_00027963.JPEG
34801,34801_ILSVRC2012_val_00022324.JPEG
36032,36032_ILSVRC2012_val_00045753.JPEG
38318,38318_ILSVRC2012_val_00045085.JPEG
39041,39041_ILSVRC2012_val_00040898.JPEG
40792,40792_ILSVRC2012_val_00015183.JPEG
42923,42923_ILSVRC2012_val_00019914.JPEG
44809,44809_ILSVRC2012_val_00020250.JPEG
45456,45456_ILSVRC2012_val_00026540.JPEG
47568,47568_ILSVRC2012_val_00024691.JPEG
49236,49236_ILSVRC2012_val_00007164.JPEG
49306,49306_ILSVRC2012_val_00040040.JPEG
