rank,image_path
271,271_ILSVRC2012_val_00015747.JPEG
805,805_ILSVRC2012_val_00000344.JPEG
829,829_ILSVRC2012_val_00047232.JPEG
3927,3927_ILSVRC2012_val_00031619.JPEG
4813,4813_ILSVRC2012_val_00020527.JPEG
5224,5224_ILSVRC2012_val_00023147.JPEG
6613,6613_ILSVRC2012_val_00032428.JPEG
12231,12231_ILSVRC2012_val_00045285.JPEG
12550,12550_ILSVRC2012_val_00038313.JPEG
12900,12900_ILSVRC2012_val_00028646.JPEG
13727,13727_ILSVRC2012_val_00028278.JPEG
14287,14287_ILSVRC2012_val_00038514.JPEG
19169,19169_ILSVRC2012_val_00023854.JPEG
19502,19502_ILSVRC2012_val_00031300.JPEG
22862,22862_ILSVRC2012_val_00040099.JPEG
26457,26457_ILSVRC2012_val_00004420.JPEG
26566,26566_ILSVRC2012_val_00043539.JPEG
26706,26706_ILSVRC2012_val_00008603.JPEG
28817,28817_ILSVRC2012_val_00037835.JPEG
29584,29584_ILSVRC2012_val_00041455.JPEG
29921,29921_ILSVRC2012_val_00021859.JPEG
30212,30212_ILSVRC2012_val_00019181.JPEG
30323,30323_ILSVRC2012_val_00038521.JPEG
30783,30783_ILSVRC2012_val_00048215.JPEG
33226,33226_ILSVRC2012_val_00042505.JPEG
34123,34123_ILSVRC2012_val_00035444.JPEG
35252,35252_ILSVRC2012_val_00042306.JPEG
36098,36098_ILSVRC2012_val_00011794.JPEG
36337,36337_ILSVRC2012_val_00023065.JPEG
37225,37225_ILSVRC2012_val_00019832.JPEG
37368,37368_ILSVRC2012_val_00008076.JPEG
37823,37823_ILSVRC2012_val_00003439.JPEG
38237,38237_ILSVRC2012_val_00042769.JPEG
39398,39398_ILSVRC2012_val_00042527.JPEG
40909,40909_ILSVRC2012_val_00041567.JPEG
41889,41889_ILSVRC2012_val_00012643.JPEG
41910,41910_ILSVRC2012_val_00023646.JPEG
42247,42247_ILSVRC2012_val_00002666.JPEG
43217,43217_ILSVRC2012_val_00013685.JPEG
43519,43519_ILSVRC2012_val_00042799.JPEG
44950,44950_ILSVRC2012_val_00017110.JPEG
45064,45064_ILSVRC2012_val_00005812.JPEG
45544,45544_ILSVRC2012_val_00040906.JPEG
45808,45808_ILSVRC2012_val_00017747.JPEG
46424,46424_ILSVRC2012_val_00002826.JPEG
46478,46478_ILSVRC2012_val_00034375.JPEG
46672,46672_ILSVRC2012_val_00036404.JPEG
47183,47183_ILSVRC2012_val_00001471.JPEG
47468,47468_ILSVRC2012_val_00004624.JPEG
48280,48280_ILSVRC2012_val_00003798.JPEG
