rank,image_path
14091,14091_ILSVRC2012_val_00023112.JPEG
17184,17184_ILSVRC2012_val_00009538.JPEG
18242,18242_ILSVRC2012_val_00045860.JPEG
19374,19374_ILSVRC2012_val_00000164.JPEG
22094,22094_ILSVRC2012_val_00016576.JPEG
23102,23102_ILSVRC2012_val_00021454.JPEG
23538,23538_ILSVRC2012_val_00003131.JPEG
24496,24496_ILSVRC2012_val_00009084.JPEG
25362,25362_ILSVRC2012_val_00043571.JPEG
25392,25392_ILSVRC2012_val_00025893.JPEG
26653,26653_ILSVRC2012_val_00025548.JPEG
30427,30427_ILSVRC2012_val_00027194.JPEG
32689,32689_ILSVRC2012_val_00033929.JPEG
32841,32841_ILSVRC2012_val_00037302.JPEG
33313,33313_ILSVRC2012_val_00038877.JPEG
34274,34274_ILSVRC2012_val_00021374.JPEG
35272,35272_ILSVRC2012_val_00023640.JPEG
36058,36058_ILSVRC2012_val_00028344.JPEG
37328,37328_ILSVRC2012_val_00002430.JPEG
37413,37413_ILSVRC2012_val_00020923.JPEG
37747,37747_ILSVRC2012_val_00046597.JPEG
37851,37851_ILSVRC2012_val_00010360.JPEG
38075,38075_ILSVRC2012_val_00020276.JPEG
38281,38281_ILSVRC2012_val_00019529.JPEG
38664,38664_ILSVRC2012_val_00048875.JPEG
38674,38674_ILSVRC2012_val_00013606.JPEG
38821,38821_ILSVRC2012_val_00028575.JPEG
39316,39316_ILSVRC2012_val_00031746.JPEG
41048,41048_ILSVRC2012_val_00023912.JPEG
41139,41139_ILSVRC2012_val_00034882.JPEG
41220,41220_ILSVRC2012_val_00019347.JPEG
41277,41277_ILSVRC2012_val_00010622.JPEG
41755,41755_ILSVRC2012_val_00035758.JPEG
42446,42446_ILSVRC2012_val_00040997.JPEG
43272,43272_ILSVRC2012_val_00025230.JPEG
43648,43648_ILSVRC2012_val_00019645.JPEG
44120,44120_ILSVRC2012_val_00029400.JPEG
44649,44649_ILSVRC2012_val_00048882.JPEG
44735,44735_ILSVRC2012_val_00017456.JPEG
44956,44956_ILSVRC2012_val_00023142.JPEG
45294,45294_ILSVRC2012_val_00010857.JPEG
45648,45648_ILSVRC2012_val_00032778.JPEG
46201,46201_ILSVRC2012_val_00038548.JPEG
46242,46242_ILSVRC2012_val_00001588.JPEG
47686,47686_ILSVRC2012_val_00023189.JPEG
48790,48790_ILSVRC2012_val_00029448.JPEG
49245,49245_ILSVRC2012_val_00024445.JPEG
49807,49807_ILSVRC2012_val_00043211.JPEG
49852,49852_ILSVRC2012_val_00026762.JPEG
49930,49930_ILSVRC2012_val_00040929.JPEG
