rank,image_path
1464,1464_ILSVRC2012_val_00019056.JPEG
3454,3454_ILSVRC2012_val_00013017.JPEG
5765,5765_ILSVRC2012_val_00004971.JPEG
5921,5921_ILSVRC2012_val_00035475.JPEG
6925,6925_ILSVRC2012_val_00005906.JPEG
7217,7217_ILSVRC2012_val_00021746.JPEG
11120,11120_ILSVRC2012_val_00032736.JPEG
12644,12644_ILSVRC2012_val_00016843.JPEG
14488,14488_ILSVRC2012_val_00006109.JPEG
16768,16768_ILSVRC2012_val_00032487.JPEG
17043,17043_ILSVRC2012_val_00046376.JPEG
17203,17203_ILSVRC2012_val_00021941.JPEG
18306,18306_ILSVRC2012_val_00019322.JPEG
19489,19489_ILSVRC2012_val_00044043.JPEG
19559,19559_ILSVRC2012_val_00024911.JPEG
20447,20447_ILSVRC2012_val_00025792.JPEG
20564,20564_ILSVRC2012_val_00049248.JPEG
20574,20574_ILSVRC2012_val_00022192.JPEG
20710,20710_ILSVRC2012_val_00035145.JPEG
22005,22005_ILSVRC2012_val_00015423.JPEG
23178,23178_ILSVRC2012_val_00009018.JPEG
24119,24119_ILSVRC2012_val_00047172.JPEG
25671,25671_ILSVRC2012_val_00023151.JPEG
26128,26128_ILSVRC2012_val_00017150.JPEG
26195,26195_ILSVRC2012_val_00023985.JPEG
26952,26952_ILSVRC2012_val_00047032.JPEG
28618,28618_ILSVRC2012_val_00030077.JPEG
29094,29094_ILSVRC2012_val_00038841.JPEG
29215,29215_ILSVRC2012_val_00037402.JPEG
31011,31011_ILSVRC2012_val_00031209.JPEG
31166,31166_ILSVRC2012_val_00007079.JPEG
31369,31369_ILSVRC2012_val_00009358.JPEG
32388,32388_ILSVRC2012_val_00014463.JPEG
34760,34760_ILSVRC2012_val_00026449.JPEG
37190,37190_ILSVRC2012_val_00015852.JPEG
38483,38483_ILSVRC2012_val_00005411.JPEG
38598,38598_ILSVRC2012_val_00036914.JPEG
39035,39035_ILSVRC2012_val_00007817.JPEG
39267,39267_ILSVRC2012_val_00036697.JPEG
39438,39438_ILSVRC2012_val_00013488.JPEG
40119,40119_ILSVRC2012_val_00007910.JPEG
40232,40232_ILSVRC2012_val_00046514.JPEG
40522,40522_ILSVRC2012_val_00032920.JPEG
42640,42640_ILSVRC2012_val_00017880.JPEG
42697,42697_ILSVRC2012_val_00007745.JPEG
42973,42973_ILSVRC2012_val_00006660.JPEG
43923,43923_ILSVRC2012_val_00020729.JPEG
44028,44028_ILSVRC2012_val_00038524.JPEG
44641,44641_ILSVRC2012_val_00020842.JPEG
44966,44966_ILSVRC2012_val_00041941.JPEG
