rank,image_path
257,257_ILSVRC2012_val_00000985.JPEG
1802,1802_ILSVRC2012_val_00013975.JPEG
2108,2108_ILSVRC2012_val_00047158.JPEG
2680,2680_ILSVRC2012_val_00019952.JPEG
10827,10827_ILSVRC2012_val_00001561.JPEG
11189,11189_ILSVRC2012_val_00046379.JPEG
12854,12854_ILSVRC2012_val_00016900.JPEG
14931,14931_ILSVRC2012_val_00009851.JPEG
15152,15152_ILSVRC2012_val_00005879.JPEG
16197,16197_ILSVRC2012_val_00003210.JPEG
16292,16292_ILSVRC2012_val_00012581.JPEG
17150,17150_ILSVRC2012_val_00014976.JPEG
17699,17699_ILSVRC2012_val_00031081.JPEG
20854,20854_ILSVRC2012_val_00004468.JPEG
21588,21588_ILSVRC2012_val_00029912.JPEG
23441,23441_ILSVRC2012_val_00041662.JPEG
24555,24555_ILSVRC2012_val_00037140.JPEG
25339,25339_ILSVRC2012_val_00040324.JPEG
25800,25800_ILSVRC2012_val_00040030.JPEG
26125,26125_ILSVRC2012_val_00038551.JPEG
26258,26258_ILSVRC2012_val_00029846.JPEG
26926,26926_ILSVRC2012_val_00036390.JPEG
27271,27271_ILSVRC2012_val_00023395.JPEG
27747,27747_ILSVRC2012_val_00011285.JPEG
28360,28360_ILSVRC2012_val_00007131.JPEG
28364,28364_ILSVRC2012_val_00014214.JPEG
28580,28580_ILSVRC2012_val_00042591.JPEG
28716,28716_ILSVRC2012_val_00001725.JPEG
28843,28843_ILSVRC2012_val_00023397.JPEG
29705,29705_ILSVRC2012_val_00029708.JPEG
30764,30764_ILSVRC2012_val_00011310.JPEG
31026,31026_ILSVRC2012_val_00040692.JPEG
31998,31998_ILSVRC2012_val_00009053.JPEG
32472,32472_ILSVRC2012_val_00007624.JPEG
35943,35943_ILSVRC2012_val_00003830.JPEG
38078,38078_ILSVRC2012_val_00009212.JPEG
38131,38131_ILSVRC2012_val_00034905.JPEG
39032,39032_ILSVRC2012_val_00044310.JPEG
39160,39160_ILSVRC2012_val_00017365.JPEG
40117,40117_ILSVRC2012_val_00047005.JPEG
40297,40297_ILSVRC2012_val_00018766.JPEG
40608,40608_ILSVRC2012_val_00030390.JPEG
40769,40769_ILSVRC2012_val_00001613.JPEG
41896,41896_ILSVRC2012_val_00001606.JPEG
42397,42397_ILSVRC2012_val_00015828.JPEG
43240,43240_ILSVRC2012_val_00027894.JPEG
45681,45681_ILSVRC2012_val_00015936.JPEG
46361,46361_ILSVRC2012_val_00015655.JPEG
46621,46621_ILSVRC2012_val_00027754.JPEG
47321,47321_ILSVRC2012_val_00001019.JPEG
