rank,image_path
4711,4711_ILSVRC2012_val_00049747.JPEG
5897,5897_ILSVRC2012_val_00022587.JPEG
6441,6441_ILSVRC2012_val_00025028.JPEG
8562,8562_ILSVRC2012_val_00018569.JPEG
9045,9045_ILSVRC2012_val_00027795.JPEG
15304,15304_ILSVRC2012_val_00023718.JPEG
16677,16677_ILSVRC2012_val_00010676.JPEG
17777,17777_ILSVRC2012_val_00016337.JPEG
18508,18508_ILSVRC2012_val_00018249.JPEG
19761,19761_ILSVRC2012_val_00036091.JPEG
19913,19913_ILSVRC2012_val_00019496.JPEG
20920,20920_ILSVRC2012_val_00032595.JPEG
22271,22271_ILSVRC2012_val_00014010.JPEG
22728,22728_ILSVRC2012_val_00028957.JPEG
22852,22852_ILSVRC2012_val_00007348.JPEG
23969,23969_ILSVRC2012_val_00001201.JPEG
26728,26728_ILSVRC2012_val_00031558.JPEG
26833,26833_ILSVRC2012_val_00026398.JPEG
27508,27508_ILSVRC2012_val_00047687.JPEG
27737,27737_ILSVRC2012_val_00016613.JPEG
28163,28163_ILSVRC2012_val_00043824.JPEG
28174,28174_ILSVRC2012_val_00046196.JPEG
28343,28343_ILSVRC2012_val_00020524.JPEG
28465,28465_ILSVRC2012_val_00038956.JPEG
28922,28922_ILSVRC2012_val_00044359.JPEG
29524,29524_ILSVRC2012_val_00015357.JPEG
30963,30963_ILSVRC2012_val_00004685.JPEG
31487,31487_ILSVRC2012_val_00022491.JPEG
31498,31498_ILSVRC2012_val_00025647.JPEG
32078,32078_ILSVRC2012_val_00014208.JPEG
32331,32331_ILSVRC2012_val_00041430.JPEG
32501,32501_ILSVRC2012_val_00005500.JPEG
32768,32768_ILSVRC2012_val_00008981.JPEG
32880,32880_ILSVRC2012_val_00024103.JPEG
33221,33221_ILSVRC2012_val_00015198.JPEG
33820,33820_ILSVRC2012_val_00022130.JPEG
35165,35165_ILSVRC2012_val_00004387.JPEG
35638,35638_ILSVRC2012_val_00040371.JPEG
35856,35856_ILSVRC2012_val_00022770.JPEG
36450,36450_ILSVRC2012_val_00027293.JPEG
37176,37176_ILSVRC2012_val_00038876.JPEG
37655,37655_ILSVRC2012_val_00029454.JPEG
38369,38369_ILSVRC2012_val_00022835.JPEG
38481,38481_ILSVRC2012_val_00027508.JPEG
38894,38894_ILSVRC2012_val_00019647.JPEG
39364,39364_ILSVRC2012_val_00032147.JPEG
40112,40112_ILSVRC2012_val_00009569.JPEG
40726,40726_ILSVRC2012_val_00020673.JPEG
42468,42468_ILSVRC2012_val_00015289.JPEG
42539,42539_ILSVRC2012_val_00033796.JPEG
