rank,image_path
1887,1887_ILSVRC2012_val_00004224.JPEG
2155,2155_ILSVRC2012_val_00042229.JPEG
5368,5368_ILSVRC2012_val_00007670.JPEG
5430,5430_ILSVRC2012_val_00021919.JPEG
5499,5499_ILSVRC2012_val_00019143.JPEG
6977,6977_ILSVRC2012_val_00049188.JPEG
8423,8423_ILSVRC2012_val_00005703.JPEG
10714,10714_ILSVRC2012_val_00006896.JPEG
10834,10834_ILSVRC2012_val_00026171.JPEG
11923,11923_ILSVRC2012_val_00023249.JPEG
12427,12427_ILSVRC2012_val_00022045.JPEG
14303,14303_ILSVRC2012_val_00039009.JPEG
15467,15467_ILSVRC2012_val_00009323.JPEG
15890,15890_ILSVRC2012_val_00043953.JPEG
16959,16959_ILSVRC2012_val_00028555.JPEG
18647,18647_ILSVRC2012_val_00020055.JPEG
18926,18926_ILSVRC2012_val_00005727.JPEG
19601,19601_ILSVRC2012_val_00021029.JPEG
20272,20272_ILSVRC2012_val_00018542.JPEG
20827,20827_ILSVRC2012_val_00007412.JPEG
21272,21272_ILSVRC2012_val_00045314.JPEG
22518,22518_ILSVRC2012_val_00046473.JPEG
26014,26014_ILSVRC2012_val_00018599.JPEG
26645,26645_ILSVRC2012_val_00036659.JPEG
26842,26842_ILSVRC2012_val_00038897.JPEG
26961,26961_ILSVRC2012_val_00003262.JPEG
27279,27279_ILSVRC2012_val_00038771.JPEG
27765,27765_ILSVRC2012_val_00049321.JPEG
27942,27942_ILSVRC2012_val_00032588.JPEG
28223,28223_ILSVRC2012_val_00040330.JPEG
28711,28711_ILSVRC2012_val_00010680.JPEG
29131,29131_ILSVRC2012_val_00027237.JPEG
29545,29545_ILSVRC2012_val_00020908.JPEG
30147,30147_ILSVRC2012_val_00014892.JPEG
30585,30585_ILSVRC2012_val_00017045.JPEG
31393,31393_ILSVRC2012_val_00013214.JPEG
32300,32300_ILSVRC2012_val_00034440.JPEG
32438,32438_ILSVRC2012_val_00015270.JPEG
33050,33050_ILSVRC2012_val_00040674.JPEG
33154,33154_ILSVRC2012_val_00012867.JPEG
33298,33298_ILSVRC2012_val_00008404.JPEG
33358,33358_ILSVRC2012_val_00049620.JPEG
33362,33362_ILSVRC2012_val_00004384.JPEG
33408,33408_ILSVRC2012_val_00018467.JPEG
34696,34696_ILSVRC2012_val_00042234.JPEG
35135,35135_ILSVRC2012_val_00033008.JPEG
35663,35663_ILSVRC2012_val_00027721.JPEG
37347,37347_ILSVRC2012_val_00044360.JPEG
37860,37860_ILSVRC2012_val_00025609.JPEG
41665,41665_ILSVRC2012_val_00000678.JPEG
