rank,image_path
541,541_ILSVRC2012_val_00024382.JPEG
4153,4153_ILSVRC2012_val_00010957.JPEG
5177,5177_ILSVRC2012_val_00029739.JPEG
18864,18864_ILSVRC2012_val_00003760.JPEG
19037,19037_ILSVRC2012_val_00023878.JPEG
19224,19224_ILSVRC2012_val_00039750.JPEG
19338,19338_ILSVRC2012_val_00026251.JPEG
19468,19468_ILSVRC2012_val_00018482.JPEG
19781,19781_ILSVRC2012_val_00013362.JPEG
22132,22132_ILSVRC2012_val_00032152.JPEG
23430,23430_ILSVRC2012_val_00006490.JPEG
24324,24324_ILSVRC2012_val_00005346.JPEG
24402,24402_ILSVRC2012_val_00004872.JPEG
24875,24875_ILSVRC2012_val_00033776.JPEG
25126,25126_ILSVRC2012_val_00006384.JPEG
26251,26251_ILSVRC2012_val_00049869.JPEG
27970,27970_ILSVRC2012_val_00012841.JPEG
28322,28322_ILSVRC2012_val_00004413.JPEG
28328,28328_ILSVRC2012_val_00047208.JPEG
28666,28666_ILSVRC2012_val_00020388.JPEG
29026,29026_ILSVRC2012_val_00029414.JPEG
30553,30553_ILSVRC2012_val_00020143.JPEG
30727,30727_ILSVRC2012_val_00036529.JPEG
30831,30831_ILSVRC2012_val_00030122.JPEG
31560,31560_ILSVRC2012_val_00038273.JPEG
33058,33058_ILSVRC2012_val_00006020.JPEG
33552,33552_ILSVRC2012_val_00024741.JPEG
33973,33973_ILSVRC2012_val_00024379.JPEG
34577,34577_ILSVRC2012_val_00025254.JPEG
34847,34847_ILSVRC2012_val_00005719.JPEG
37788,37788_ILSVRC2012_val_00041392.JPEG
38041,38041_ILSVRC2012_val_00002639.JPEG
38652,38652_ILSVRC2012_val_00022722.JPEG
39063,39063_ILSVRC2012_val_00005265.JPEG
40017,40017_ILSVRC2012_val_00013839.JPEG
40191,40191_ILSVRC2012_val_00008522.JPEG
40765,40765_ILSVRC2012_val_00030013.JPEG
41169,41169_ILSVRC2012_val_00001875.JPEG
41804,41804_ILSVRC2012_val_00016207.JPEG
42364,42364_ILSVRC2012_val_00016536.JPEG
42860,42860_ILSVRC2012_val_00002368.JPEG
42975,42975_ILSVRC2012_val_00009695.JPEG
43191,43191_ILSVRC2012_val_00047358.JPEG
43671,43671_ILSVRC2012_val_00035648.JPEG
43677,43677_ILSVRC2012_val_00042942.JPEG
43768,43768_ILSVRC2012_val_00035920.JPEG
44018,44018_ILSVRC2012_val_00040779.JPEG
45313,45313_ILSVRC2012_val_00037403.JPEG
45326,45326_ILSVRC2012_val_00017204.JPEG
47415,47415_ILSVRC2012_val_00003256.JPEG
