rank,image_path
2063,2063_ILSVRC2012_val_00021438.JPEG
4076,4076_ILSVRC2012_val_00028729.JPEG
4818,4818_ILSVRC2012_val_00038036.JPEG
4852,4852_ILSVRC2012_val_00049691.JPEG
6372,6372_ILSVRC2012_val_00023927.JPEG
7172,7172_ILSVRC2012_val_00044152.JPEG
8303,8303_ILSVRC2012_val_00014434.JPEG
9058,9058_ILSVRC2012_val_00014959.JPEG
9190,9190_ILSVRC2012_val_00018027.JPEG
9693,9693_ILSVRC2012_val_00004202.JPEG
9926,9926_ILSVRC2012_val_00006869.JPEG
10438,10438_ILSVRC2012_val_00025943.JPEG
10442,10442_ILSVRC2012_val_00034685.JPEG
11161,11161_ILSVRC2012_val_00035082.JPEG
11646,11646_ILSVRC2012_val_00016822.JPEG
12488,12488_ILSVRC2012_val_00016289.JPEG
13170,13170_ILSVRC2012_val_00006425.JPEG
13380,13380_ILSVRC2012_val_00041350.JPEG
14546,14546_ILSVRC2012_val_00013302.JPEG
14683,14683_ILSVRC2012_val_00034212.JPEG
14734,14734_ILSVRC2012_val_00023908.JPEG
15536,15536_ILSVRC2012_val_00025590.JPEG
15734,15734_ILSVRC2012_val_00047186.JPEG
15815,15815_ILSVRC2012_val_00040988.JPEG
15975,15975_ILSVRC2012_val_00010526.JPEG
16501,16501_ILSVRC2012_val_00007849.JPEG
17199,17199_ILSVRC2012_val_00047689.JPEG
18260,18260_ILSVRC2012_val_00043175.JPEG
18968,18968_ILSVRC2012_val_00031482.JPEG
19140,19140_ILSVRC2012_val_00031743.JPEG
19260,19260_ILSVRC2012_val_00021592.JPEG
19315,19315_ILSVRC2012_val_00021484.JPEG
20427,20427_ILSVRC2012_val_00044282.JPEG
21095,21095_ILSVRC2012_val_00001689.JPEG
23283,23283_ILSVRC2012_val_00013542.JPEG
23348,23348_ILSVRC2012_val_00022689.JPEG
24404,24404_ILSVRC2012_val_00016938.JPEG
24560,24560_ILSVRC2012_val_00011868.JPEG
24687,24687_ILSVRC2012_val_00034925.JPEG
24885,24885_ILSVRC2012_val_00017023.JPEG
25529,25529_ILSVRC2012_val_00036930.JPEG
25810,25810_ILSVRC2012_val_00001756.JPEG
29108,29108_ILSVRC2012_val_00041023.JPEG
30200,30200_ILSVRC2012_val_00028382.JPEG
34417,34417_ILSVRC2012_val_00003732.JPEG
36742,36742_ILSVRC2012_val_00044124.JPEG
36857,36857_ILSVRC2012_val_00030481.JPEG
38899,38899_ILSVRC2012_val_00015934.JPEG
42623,42623_ILSVRC2012_val_00036211.JPEG
46443,46443_ILSVRC2012_val_00025383.JPEG
