rank,image_path
4484,4484_ILSVRC2012_val_00021221.JPEG
4916,4916_ILSVRC2012_val_00034270.JPEG
14590,14590_ILSVRC2012_val_00018365.JPEG
17806,17806_ILSVRC2012_val_00016276.JPEG
20023,20023_ILSVRC2012_val_00015021.JPEG
21198,21198_ILSVRC2012_val_00022001.JPEG
23670,23670_ILSVRC2012_val_00035409.JPEG
23845,23845_ILSVRC2012_val_00041261.JPEG
24092,24092_ILSVRC2012_val_00042010.JPEG
26208,26208_ILSVRC2012_val_00017677.JPEG
26923,26923_ILSVRC2012_val_00040533.JPEG
27325,27325_ILSVRC2012_val_00029373.JPEG
27344,27344_ILSVRC2012_val_00047643.JPEG
27543,27543_ILSVRC2012_val_00014067.JPEG
28326,28326_ILSVRC2012_val_00012677.JPEG
28478,28478_ILSVRC2012_val_00037356.JPEG
30003,30003_ILSVRC2012_val_00034566.JPEG
31303,31303_ILSVRC2012_val_00035710.JPEG
32419,32419_ILSVRC2012_val_00030715.JPEG
32557,32557_ILSVRC2012_val_00042904.JPEG
33560,33560_ILSVRC2012_val_00049638.JPEG
34769,34769_ILSVRC2012_val_00035324.JPEG
35249,35249_ILSVRC2012_val_00019314.JPEG
35336,35336_ILSVRC2012_val_00001873.JPEG
35778,35778_ILSVRC2012_val_00018535.JPEG
35784,35784_ILSVRC2012_val_00003649.JPEG
35842,35842_ILSVRC2012_val_00017221.JPEG
36462,36462_ILSVRC2012_val_00018634.JPEG
37016,37016_ILSVRC2012_val_00003997.JPEG
37948,37948_ILSVRC2012_val_00048072.JPEG
38472,38472_ILSVRC2012_val_00021521.JPEG
38948,38948_ILSVRC2012_val_00007678.JPEG
40357,40357_ILSVRC2012_val_00039267.JPEG
41127,41127_ILSVRC2012_val_00021602.JPEG
41876,41876_ILSVRC2012_val_00003343.JPEG
42015,42015_ILSVRC2012_val_00017942.JPEG
43502,43502_ILSVRC2012_val_00047433.JPEG
43669,43669_ILSVRC2012_val_00014271.JPEG
44693,44693_ILSVRC2012_val_00003874.JPEG
45346,45346_ILSVRC2012_val_00026894.JPEG
45974,45974_ILSVRC2012_val_00026590.JPEG
46311,46311_ILSVRC2012_val_00028270.JPEG
47652,47652_ILSVRC2012_val_00015068.JPEG
47733,47733_ILSVRC2012_val_00031335.JPEG
48053,48053_ILSVRC2012_val_00044578.JPEG
48458,48458_ILSVRC2012_val_00006730.JPEG
48535,48535_ILSVRC2012_val_00038716.JPEG
48799,48799_ILSVRC2012_val_00027608.JPEG
48864,48864_ILSVRC2012_val_00009275.JPEG
49795,49795_ILSVRC2012_val_00004706.JPEG
