rank,image_path
3314,3314_ILSVRC2012_val_00031076.JPEG
7897,7897_ILSVRC2012_val_00048256.JPEG
9960,9960_ILSVRC2012_val_00016620.JPEG
12482,12482_ILSVRC2012_val_00010844.JPEG
12791,12791_ILSVRC2012_val_00005702.JPEG
13616,13616_ILSVRC2012_val_00016028.JPEG
14481,14481_ILSVRC2012_val_00041291.JPEG
20525,20525_ILSVRC2012_val_00040888.JPEG
21827,21827_ILSVRC2012_val_00006889.JPEG
22092,22092_ILSVRC2012_val_00032252.JPEG
22547,22547_ILSVRC2012_val_00001337.JPEG
24355,24355_ILSVRC2012_val_00045621.JPEG
25650,25650_ILSVRC2012_val_00015567.JPEG
26741,26741_ILSVRC2012_val_00014253.JPEG
27511,27511_ILSVRC2012_val_00029808.JPEG
27806,27806_ILSVRC2012_val_00005672.JPEG
29339,29339_ILSVRC2012_val_00046824.JPEG
30758,30758_ILSVRC2012_val_00048778.JPEG
31117,31117_ILSVRC2012_val_00031711.JPEG
31434,31434_ILSVRC2012_val_00048567.JPEG
33266,33266_ILSVRC2012_val_00013219.JPEG
34359,34359_ILSVRC2012_val_00025404.JPEG
36651,36651_ILSVRC2012_val_00044883.JPEG
37264,37264_ILSVRC2012_val_00037382.JPEG
37548,37548_ILSVRC2012_val_00044432.JPEG
37752,37752_ILSVRC2012_val_00008131.JPEG
37894,37894_ILSVRC2012_val_00034736.JPEG
38110,38110_ILSVRC2012_val_00008874.JPEG
38200,38200_ILSVRC2012_val_00044449.JPEG
38509,38509_ILSVRC2012_val_00025538.JPEG
39425,39425_ILSVRC2012_val_00035895.JPEG
39577,39577_ILSVRC2012_val_00040690.JPEG
40086,40086_ILSVRC2012_val_00027513.JPEG
40722,40722_ILSVRC2012_val_00026638.JPEG
40730,40730_ILSVRC2012_val_00004150.JPEG
41637,41637_ILSVRC2012_val_00048789.JPEG
42034,42034_ILSVRC2012_val_00007337.JPEG
42065,42065_ILSVRC2012_val_00004783.JPEG
42169,42169_ILSVRC2012_val_00009886.JPEG
42951,42951_ILSVRC2012_val_00033498.JPEG
43061,43061_ILSVRC2012_val_00033873.JPEG
43088,43088_ILSVRC2012_val_00037016.JPEG
44279,44279_ILSVRC2012_val_00002740.JPEG
45115,45115_ILSVRC2012_val_00038458.JPEG
45256,45256_ILSVRC2012_val_00037313.JPEG
45766,45766_ILSVRC2012_val_00022136.JPEG
45915,45915_ILSVRC2012_val_00040956.JPEG
45984,45984_ILSVRC2012_val_00022939.JPEG
46747,46747_ILSVRC2012_val_00004718.JPEG
47164,47164_ILSVRC2012_val_00026432.JPEG
