rank,image_path
329,329_ILSVRC2012_val_00006273.JPEG
478,478_ILSVRC2012_val_00001898.JPEG
884,884_ILSVRC2012_val_00021176.JPEG
1397,1397_ILSVRC2012_val_00013861.JPEG
1439,1439_ILSVRC2012_val_00030476.JPEG
2846,2846_ILSVRC2012_val_00010202.JPEG
3601,3601_ILSVRC2012_val_00048779.JPEG
3905,3905_ILSVRC2012_val_00033418.JPEG
4051,4051_ILSVRC2012_val_00034465.JPEG
4416,4416_ILSVRC2012_val_00002481.JPEG
4447,4447_ILSVRC2012_val_00025851.JPEG
4814,4814_ILSVRC2012_val_00025903.JPEG
4970,4970_ILSVRC2012_val_00049511.JPEG
5592,5592_ILSVRC2012_val_00009602.JPEG
5957,5957_ILSVRC2012_val_00008992.JPEG
6339,6339_ILSVRC2012_val_00036389.JPEG
7588,7588_ILSVRC2012_val_00045937.JPEG
7857,7857_ILSVRC2012_val_00023620.JPEG
8675,8675_ILSVRC2012_val_00042611.JPEG
8797,8797_ILSVRC2012_val_00030165.JPEG
9474,9474_ILSVRC2012_val_00020023.JPEG
9740,9740_ILSVRC2012_val_00006097.JPEG
10063,10063_ILSVRC2012_val_00045768.JPEG
10423,10423_ILSVRC2012_val_00048427.JPEG
10802,10802_ILSVRC2012_val_00013848.JPEG
11029,11029_ILSVRC2012_val_00002216.JPEG
11158,11158_ILSVRC2012_val_00021493.JPEG
11168,11168_ILSVRC2012_val_00019824.JPEG
11224,11224_ILSVRC2012_val_00004634.JPEG
11470,11470_ILSVRC2012_val_00001702.JPEG
11596,11596_ILSVRC2012_val_00024784.JPEG
11851,11851_ILSVRC2012_val_00010311.JPEG
12159,12159_ILSVRC2012_val_00040598.JPEG
12704,12704_ILSVRC2012_val_00048591.JPEG
12906,12906_ILSVRC2012_val_00028175.JPEG
13202,13202_ILSVRC2012_val_00023913.JPEG
13385,13385_ILSVRC2012_val_00018815.JPEG
13520,13520_ILSVRC2012_val_00032904.JPEG
13569,13569_ILSVRC2012_val_00027840.JPEG
15783,15783_ILSVRC2012_val_00016990.JPEG
17465,17465_ILSVRC2012_val_00041081.JPEG
19268,19268_ILSVRC2012_val_00048236.JPEG
19473,19473_ILSVRC2012_val_00020015.JPEG
23930,23930_ILSVRC2012_val_00022581.JPEG
25146,25146_ILSVRC2012_val_00016430.JPEG
26098,26098_ILSVRC2012_val_00031688.JPEG
26362,26362_ILSVRC2012_val_00014430.JPEG
29536,29536_ILSVRC2012_val_00047631.JPEG
38929,38929_ILSVRC2012_val_00003355.JPEG
47674,47674_ILSVRC2012_val_00049881.JPEG
