rank,image_path
4258,4258_ILSVRC2012_val_00032218.JPEG
8911,8911_ILSVRC2012_val_00013732.JPEG
9438,9438_ILSVRC2012_val_00049038.JPEG
12949,12949_ILSVRC2012_val_00002699.JPEG
13286,13286_ILSVRC2012_val_00018058.JPEG
15222,15222_ILSVRC2012_val_00042598.JPEG
15296,15296_ILSVRC2012_val_00006233.JPEG
16119,16119_ILSVRC2012_val_00046665.JPEG
20620,20620_ILSVRC2012_val_00041052.JPEG
20636,20636_ILSVRC2012_val_00023284.JPEG
21618,21618_ILSVRC2012_val_00024563.JPEG
22550,22550_ILSVRC2012_val_00016502.JPEG
24459,24459_ILSVRC2012_val_00004916.JPEG
25610,25610_ILSVRC2012_val_00009299.JPEG
26008,26008_ILSVRC2012_val_00026240.JPEG
26707,26707_ILSVRC2012_val_00014742.JPEG
26724,26724_ILSVRC2012_val_00032769.JPEG
26792,26792_ILSVRC2012_val_00045688.JPEG
27080,27080_ILSVRC2012_val_00044826.JPEG
27148,27148_ILSVRC2012_val_00022702.JPEG
27219,27219_ILSVRC2012_val_00039509.JPEG
27339,27339_ILSVRC2012_val_00027528.JPEG
27438,27438_ILSVRC2012_val_00026069.JPEG
28103,28103_ILSVRC2012_val_00036101.JPEG
28610,28610_ILSVRC2012_val_00039191.JPEG
28971,28971_ILSVRC2012_val_00023348.JPEG
29509,29509_ILSVRC2012_val_00014675.JPEG
29775,29775_ILSVRC2012_val_00017183.JPEG
30887,30887_ILSVRC2012_val_00000493.JPEG
32209,32209_ILSVRC2012_val_00012700.JPEG
32272,32272_ILSVRC2012_val_00017089.JPEG
33972,33972_ILSVRC2012_val_00014142.JPEG
35939,35939_ILSVRC2012_val_00021254.JPEG
35971,35971_ILSVRC2012_val_00024495.JPEG
36544,36544_ILSVRC2012_val_00034183.JPEG
38586,38586_ILSVRC2012_val_00019240.JPEG
38774,38774_ILSVRC2012_val_00033158.JPEG
39405,39405_ILSVRC2012_val_00007673.JPEG
39444,39444_ILSVRC2012_val_00001991.JPEG
39571,39571_ILSVRC2012_val_00038709.JPEG
39721,39721_ILSVRC2012_val_00037550.JPEG
40138,40138_ILSVRC2012_val_00033272.JPEG
42322,42322_ILSVRC2012_val_00002075.JPEG
42871,42871_ILSVRC2012_val_00010368.JPEG
45020,45020_ILSVRC2012_val_00015180.JPEG
45633,45633_ILSVRC2012_val_00030302.JPEG
45883,45883_ILSVRC2012_val_00039269.JPEG
48509,48509_ILSVRC2012_val_00012531.JPEG
49395,49395_ILSVRC2012_val_00017610.JPEG
49430,49430_ILSVRC2012_val_00010735.JPEG
