rank,image_path
698,698_ILSVRC2012_val_00000989.JPEG
14541,14541_ILSVRC2012_val_00008325.JPEG
15361,15361_ILSVRC2012_val_00000412.JPEG
16393,16393_ILSVRC2012_val_00023439.JPEG
22007,22007_ILSVRC2012_val_00045809.JPEG
22656,22656_ILSVRC2012_val_00049555.JPEG
22700,22700_ILSVRC2012_val_00013710.JPEG
25351,25351_ILSVRC2012_val_00000616.JPEG
25613,25613_ILSVRC2012_val_00025079.JPEG
26935,26935_ILSVRC2012_val_00019877.JPEG
27435,27435_ILSVRC2012_val_00008440.JPEG
28044,28044_ILSVRC2012_val_00022466.JPEG
29192,29192_ILSVRC2012_val_00037591.JPEG
29846,29846_ILSVRC2012_val_00029871.JPEG
30036,30036_ILSVRC2012_val_00013238.JPEG
30712,30712_ILSVRC2012_val_00037503.JPEG
34479,34479_ILSVRC2012_val_00034855.JPEG
34626,34626_ILSVRC2012_val_00045284.JPEG
35001,35001_ILSVRC2012_val_00003423.JPEG
35256,35256_ILSVRC2012_val_00039722.JPEG
37188,37188_ILSVRC2012_val_00047190.JPEG
37808,37808_ILSVRC2012_val_00039251.JPEG
38926,38926_ILSVRC2012_val_00008281.JPEG
39495,39495_ILSVRC2012_val_00039373.JPEG
40681,40681_ILSVRC2012_val_00046115.JPEG
41533,41533_ILSVRC2012_val_00010376.JPEG
42588,42588_ILSVRC2012_val_00013040.JPEG
42677,42677_ILSVRC2012_val_00033353.JPEG
43330,43330_ILSVRC2012_val_00027902.JPEG
44224,44224_ILSVRC2012_val_00046871.JPEG
44326,44326_ILSVRC2012_val_00012688.JPEG
44506,44506_ILSVRC2012_val_00043235.JPEG
45112,45112_ILSVRC2012_val_00011122.JPEG
45177,45177_ILSVRC2012_val_00000408.JPEG
45537,45537_ILSVRC2012_val_00025296.JPEG
46110,46110_ILSVRC2012_val_00015477.JPEG
46341,46341_ILSVRC2012_val_00022212.JPEG
46446,46446_ILSVRC2012_val_00032363.JPEG
46630,46630_ILSVRC2012_val_00025191.JPEG
46844,46844_ILSVRC2012_val_00009549.JPEG
47153,47153_ILSVRC2012_val_00012125.JPEG
47334,47334_ILSVRC2012_val_00018078.JPEG
47367,47367_ILSVRC2012_val_00001880.JPEG
48128,48128_ILSVRC2012_val_00047388.JPEG
48306,48306_ILSVRC2012_val_00042843.JPEG
48657,48657_ILSVRC2012_val_00043989.JPEG
48903,48903_ILSVRC2012_val_00017337.JPEG
48998,48998_ILSVRC2012_val_00035971.JPEG
49710,49710_ILSVRC2012_val_00042321.JPEG
49908,49908_ILSVRC2012_val_00025432.JPEG
