rank,image_path
1091,1091_ILSVRC2012_val_00016239.JPEG
2991,2991_ILSVRC2012_val_00016306.JPEG
4293,4293_ILSVRC2012_val_00032665.JPEG
5459,5459_ILSVRC2012_val_00045132.JPEG
8853,8853_ILSVRC2012_val_00037407.JPEG
9108,9108_ILSVRC2012_val_00000066.JPEG
9115,9115_ILSVRC2012_val_00032519.JPEG
12626,12626_ILSVRC2012_val_00000316.JPEG
13879,13879_ILSVRC2012_val_00011544.JPEG
15572,15572_ILSVRC2012_val_00025800.JPEG
15792,15792_ILSVRC2012_val_00005210.JPEG
17023,17023_ILSVRC2012_val_00032579.JPEG
18147,18147_ILSVRC2012_val_00034488.JPEG
18961,18961_ILSVRC2012_val_00041627.JPEG
21472,21472_ILSVRC2012_val_00028338.JPEG
21816,21816_ILSVRC2012_val_00015752.JPEG
23994,23994_ILSVRC2012_val_00044395.JPEG
24591,24591_ILSVRC2012_val_00010825.JPEG
25707,25707_ILSVRC2012_val_00013790.JPEG
27555,27555_ILSVRC2012_val_00012727.JPEG
27988,27988_ILSVRC2012_val_00032840.JPEG
28049,28049_ILSVRC2012_val_00041211.JPEG
28431,28431_ILSVRC2012_val_00037558.JPEG
31612,31612_ILSVRC2012_val_00023785.JPEG
32266,32266_ILSVRC2012_val_00040279.JPEG
32479,32479_ILSVRC2012_val_00001595.JPEG
32553,32553_ILSVRC2012_val_00020757.JPEG
32576,32576_ILSVRC2012_val_00014258.JPEG
32662,32662_ILSVRC2012_val_00019070.JPEG
33487,33487_ILSVRC2012_val_00036557.JPEG
33646,33646_ILSVRC2012_val_00005884.JPEG
34244,34244_ILSVRC2012_val_00036341.JPEG
35117,35117_ILSVRC2012_val_00042020.JPEG
36870,36870_ILSVRC2012_val_00047288.JPEG
37599,37599_ILSVRC2012_val_00002381.JPEG
38667,38667_ILSVRC2012_val_00044756.JPEG
38816,38816_ILSVRC2012_val_00001747.JPEG
40790,40790_ILSVRC2012_val_00030260.JPEG
41758,41758_ILSVRC2012_val_00015281.JPEG
42224,42224_ILSVRC2012_val_00015692.JPEG
43180,43180_ILSVRC2012_val_00033294.JPEG
43388,43388_ILSVRC2012_val_00009459.JPEG
43681,43681_ILSVRC2012_val_00017924.JPEG
44924,44924_ILSVRC2012_val_00036535.JPEG
45295,45295_ILSVRC2012_val_00042915.JPEG
46286,46286_ILSVRC2012_val_00037146.JPEG
46567,46567_ILSVRC2012_val_00009426.JPEG
47120,47120_ILSVRC2012_val_00013596.JPEG
47693,47693_ILSVRC2012_val_00000933.JPEG
48945,48945_ILSVRC2012_val_00045624.JPEG
