rank,image_path
1618,1618_ILSVRC2012_val_00041423.JPEG
1646,1646_ILSVRC2012_val_00028396.JPEG
3441,3441_ILSVRC2012_val_00005689.JPEG
5556,5556_ILSVRC2012_val_00018968.JPEG
5639,5639_ILSVRC2012_val_00041584.JPEG
5952,5952_ILSVRC2012_val_00007997.JPEG
6162,6162_ILSVRC2012_val_00028898.JPEG
6352,6352_ILSVRC2012_val_00045386.JPEG
6840,6840_ILSVRC2012_val_00032545.JPEG
6857,6857_ILSVRC2012_val_00029604.JPEG
7239,7239_ILSVRC2012_val_00012469.JPEG
9552,9552_ILSVRC2012_val_00038300.JPEG
10723,10723_ILSVRC2012_val_00049872.JPEG
10787,10787_ILSVRC2012_val_00048586.JPEG
11365,11365_ILSVRC2012_val_00021693.JPEG
16420,16420_ILSVRC2012_val_00005417.JPEG
16426,16426_ILSVRC2012_val_00022894.JPEG
23123,23123_ILSVRC2012_val_00015653.JPEG
25135,25135_ILSVRC2012_val_00022584.JPEG
27278,27278_ILSVRC2012_val_00047436.JPEG
29278,29278_ILSVRC2012_val_00016234.JPEG
29734,29734_ILSVRC2012_val_00024448.JPEG
30448,30448_ILSVRC2012_val_00019160.JPEG
30893,30893_ILSVRC2012_val_00015693.JPEG
31118,31118_ILSVRC2012_val_00012163.JPEG
31552,31552_ILSVRC2012_val_00027146.JPEG
31948,31948_ILSVRC2012_val_00013874.JPEG
33028,33028_ILSVRC2012_val_00007708.JPEG
33839,33839_ILSVRC2012_val_00005624.JPEG
34024,34024_ILSVRC2012_val_00038756.JPEG
35375,35375_ILSVRC2012_val_00010220.JPEG
37152,37152_ILSVRC2012_val_00032165.JPEG
39050,39050_ILSVRC2012_val_00029463.JPEG
40253,40253_ILSVRC2012_val_00025308.JPEG
40431,40431_ILSVRC2012_val_00044233.JPEG
41770,41770_ILSVRC2012_val_00040661.JPEG
41840,41840_ILSVRC2012_val_00007209.JPEG
42370,42370_ILSVRC2012_val_00029384.JPEG
43068,43068_ILSVRC2012_val_00032808.JPEG
43789,43789_ILSVRC2012_val_00002934.JPEG
44532,44532_ILSVRC2012_val_00034109.JPEG
45087,45087_ILSVRC2012_val_00013375.JPEG
45676,45676_ILSVRC2012_val_00023051.JPEG
45909,45909_ILSVRC2012_val_00006067.JPEG
46091,46091_ILSVRC2012_val_00047694.JPEG
46753,46753_ILSVRC2012_val_00015099.JPEG
46802,46802_ILSVRC2012_val_00020352.JPEG
47569,47569_ILSVRC2012_val_00032379.JPEG
48684,48684_ILSVRC2012_val_00015548.JPEG
49935,49935_ILSVRC2012_val_00028753.JPEG
