rank,image_path
190,190_ILSVRC2012_val_00002414.JPEG
284,284_ILSVRC2012_val_00003881.JPEG
2876,2876_ILSVRC2012_val_00000769.JPEG
4478,4478_ILSVRC2012_val_00035194.JPEG
6514,6514_ILSVRC2012_val_00034630.JPEG
7575,7575_ILSVRC2012_val_00024064.JPEG
10515,10515_ILSVRC2012_val_00044750.JPEG
11391,11391_ILSVRC2012_val_00001119.JPEG
15673,15673_ILSVRC2012_val_00021313.JPEG
15759,15759_ILSVRC2012_val_00000624.JPEG
16847,16847_ILSVRC2012_val_00038233.JPEG
17396,17396_ILSVRC2012_val_00015020.JPEG
17803,17803_ILSVRC2012_val_00005120.JPEG
18649,18649_ILSVRC2012_val_00004170.JPEG
19970,19970_ILSVRC2012_val_00031430.JPEG
20365,20365_ILSVRC2012_val_00024069.JPEG
20423,20423_ILSVRC2012_val_00015809.JPEG
20740,20740_ILSVRC2012_val_00041932.JPEG
21709,21709_ILSVRC2012_val_00016473.JPEG
22538,22538_ILSVRC2012_val_00007331.JPEG
24995,24995_ILSVRC2012_val_00013888.JPEG
25013,25013_ILSVRC2012_val_00032987.JPEG
25029,25029_ILSVRC2012_val_00025243.JPEG
25467,25467_ILSVRC2012_val_00021308.JPEG
25716,25716_ILSVRC2012_val_00001654.JPEG
26752,26752_ILSVRC2012_val_00022550.JPEG
27157,27157_ILSVRC2012_val_00042497.JPEG
28000,28000_ILSVRC2012_val_00028592.JPEG
28648,28648_ILSVRC2012_val_00006243.JPEG
28704,28704_ILSVRC2012_val_00017163.JPEG
29860,29860_ILSVRC2012_val_00043440.JPEG
30710,30710_ILSVRC2012_val_00004160.JPEG
31519,31519_ILSVRC2012_val_00036937.JPEG
33762,33762_ILSVRC2012_val_00032200.JPEG
33906,33906_ILSVRC2012_val_00034822.JPEG
34924,34924_ILSVRC2012_val_00043430.JPEG
35289,35289_ILSVRC2012_val_00029020.JPEG
35484,35484_ILSVRC2012_val_00028520.JPEG
36038,36038_ILSVRC2012_val_00030231.JPEG
36518,36518_ILSVRC2012_val_00033005.JPEG
37239,37239_ILSVRC2012_val_00015321.JPEG
39459,39459_ILSVRC2012_val_00042169.JPEG
40059,40059_ILSVRC2012_val_00043622.JPEG
40988,40988_ILSVRC2012_val_00025164.JPEG
41438,41438_ILSVRC2012_val_00005269.JPEG
44943,44943_ILSVRC2012_val_00047251.JPEG
45460,45460_ILSVRC2012_val_00034940.JPEG
46245,46245_ILSVRC2012_val_00047997.JPEG
46740,46740_ILSVRC2012_val_00033127.JPEG
48503,48503_ILSVRC2012_val_00009520.JPEG
