rank,image_path
10,10_ILSVRC2012_val_00015998.JPEG
759,759_ILSVRC2012_val_00004588.JPEG
3037,3037_ILSVRC2012_val_00046467.JPEG
3267,3267_ILSVRC2012_val_00031270.JPEG
4111,4111_ILSVRC2012_val_00046806.JPEG
4230,4230_ILSVRC2012_val_00034182.JPEG
5461,5461_ILSVRC2012_val_00016959.JPEG
7348,7348_ILSVRC2012_val_00001256.JPEG
8496,8496_ILSVRC2012_val_00016632.JPEG
9098,9098_ILSVRC2012_val_00027255.JPEG
9599,9599_ILSVRC2012_val_00032042.JPEG
10348,10348_ILSVRC2012_val_00007300.JPEG
10989,10989_ILSVRC2012_val_00012121.JPEG
13305,13305_ILSVRC2012_val_00030089.JPEG
15345,15345_ILSVRC2012_val_00048121.JPEG
15880,15880_ILSVRC2012_val_00045538.JPEG
16056,16056_ILSVRC2012_val_00047842.JPEG
16110,16110_ILSVRC2012_val_00026641.JPEG
16607,16607_ILSVRC2012_val_00008918.JPEG
17155,17155_ILSVRC2012_val_00015351.JPEG
17191,17191_ILSVRC2012_val_00030716.JPEG
17351,17351_ILSVRC2012_val_00008564.JPEG
20759,20759_ILSVRC2012_val_00045448.JPEG
21020,21020_ILSVRC2012_val_00007855.JPEG
21105,21105_ILSVRC2012_val_00010429.JPEG
21922,21922_ILSVRC2012_val_00017563.JPEG
22206,22206_ILSVRC2012_val_00031276.JPEG
22272,22272_ILSVRC2012_val_00033608.JPEG
24654,24654_ILSVRC2012_val_00007857.JPEG
24869,24869_ILSVRC2012_val_00026715.JPEG
26603,26603_ILSVRC2012_val_00002818.JPEG
27322,27322_ILSVRC2012_val_00042499.JPEG
27616,27616_ILSVRC2012_val_00007741.JPEG
29348,29348_ILSVRC2012_val_00007663.JPEG
29835,29835_ILSVRC2012_val_00036306.JPEG
30753,30753_ILSVRC2012_val_00037618.JPEG
31198,31198_ILSVRC2012_val_00043859.JPEG
32027,32027_ILSVRC2012_val_00029330.JPEG
32722,32722_ILSVRC2012_val_00026815.JPEG
33031,33031_ILSVRC2012_val_00018101.JPEG
35617,35617_ILSVRC2012_val_00046949.JPEG
36779,36779_ILSVRC2012_val_00044622.JPEG
37120,37120_ILSVRC2012_val_00007722.JPEG
37963,37963_ILSVRC2012_val_00022386.JPEG
38886,38886_ILSVRC2012_val_00037917.JPEG
39696,39696_ILSVRC2012_val_00001489.JPEG
42000,42000_ILSVRC2012_val_00016174.JPEG
47525,47525_ILSVRC2012_val_00031047.JPEG
48472,48472_ILSVRC2012_val_00040522.JPEG
49161,49161_ILSVRC2012_val_00020438.JPEG
