rank,image_path
737,737_ILSVRC2012_val_00035859.JPEG
4290,4290_ILSVRC2012_val_00011764.JPEG
4396,4396_ILSVRC2012_val_00033072.JPEG
6590,6590_ILSVRC2012_val_00019226.JPEG
7118,7118_ILSVRC2012_val_00031591.JPEG
7898,7898_ILSVRC2012_val_00012015.JPEG
8606,8606_ILSVRC2012_val_00034556.JPEG
9724,9724_ILSVRC2012_val_00032490.JPEG
10112,10112_ILSVRC2012_val_00021456.JPEG
12990,12990_ILSVRC2012_val_00008395.JPEG
13042,13042_ILSVRC2012_val_00014636.JPEG
13811,13811_ILSVRC2012_val_00030236.JPEG
14334,14334_ILSVRC2012_val_00048874.JPEG
14564,14564_ILSVRC2012_val_00034920.JPEG
15009,15009_ILSVRC2012_val_00026803.JPEG
15104,15104_ILSVRC2012_val_00038434.JPEG
15486,15486_ILSVRC2012_val_00023611.JPEG
15671,15671_ILSVRC2012_val_00036887.JPEG
16100,16100_ILSVRC2012_val_00012007.JPEG
17445,17445_ILSVRC2012_val_00029888.JPEG
17823,17823_ILSVRC2012_val_00009505.JPEG
17975,17975_ILSVRC2012_val_00044501.JPEG
19034,19034_ILSVRC2012_val_00047671.JPEG
21223,21223_ILSVRC2012_val_00027402.JPEG
21296,21296_ILSVRC2012_val_00043050.JPEG
21880,21880_ILSVRC2012_val_00000824.JPEG
23795,23795_ILSVRC2012_val_00045963.JPEG
24328,24328_ILSVRC2012_val_00017321.JPEG
25666,25666_ILSVRC2012_val_00030810.JPEG
27645,27645_ILSVRC2012_val_00004228.JPEG
28455,28455_ILSVRC2012_val_00027677.JPEG
29958,29958_ILSVRC2012_val_00027230.JPEG
30714,30714_ILSVRC2012_val_00040660.JPEG
32328,32328_ILSVRC2012_val_00031325.JPEG
33636,33636_ILSVRC2012_val_00002764.JPEG
34057,34057_ILSVRC2012_val_00033206.JPEG
36956,36956_ILSVRC2012_val_00037059.JPEG
37284,37284_ILSVRC2012_val_00010382.JPEG
40240,40240_ILSVRC2012_val_00004341.JPEG
40267,40267_ILSVRC2012_val_00039504.JPEG
40872,40872_ILSVRC2012_val_00022333.JPEG
40947,40947_ILSVRC2012_val_00045739.JPEG
41949,41949_ILSVRC2012_val_00035675.JPEG
42936,42936_ILSVRC2012_val_00020892.JPEG
43418,43418_ILSVRC2012_val_00013712.JPEG
44576,44576_ILSVRC2012_val_00039543.JPEG
44842,44842_ILSVRC2012_val_00003898.JPEG
45370,45370_ILSVRC2012_val_00035881.JPEG
46528,46528_ILSVRC2012_val_00025184.JPEG
48523,48523_ILSVRC2012_val_00003856.JPEG
