rank,image_path
304,304_ILSVRC2012_val_00038732.JPEG
430,430_ILSVRC2012_val_00036483.JPEG
725,725_ILSVRC2012_val_00009721.JPEG
1231,1231_ILSVRC2012_val_00022928.JPEG
1597,1597_ILSVRC2012_val_00005260.JPEG
2283,2283_ILSVRC2012_val_00019307.JPEG
2470,2470_ILSVRC2012_val_00019003.JPEG
2697,2697_ILSVRC2012_val_00023430.JPEG
3568,3568_ILSVRC2012_val_00026172.JPEG
4881,4881_ILSVRC2012_val_00033922.JPEG
4897,4897_ILSVRC2012_val_00022965.JPEG
7211,7211_ILSVRC2012_val_00030183.JPEG
7618,7618_ILSVRC2012_val_00011460.JPEG
7954,7954_ILSVRC2012_val_00047074.JPEG
8012,8012_ILSVRC2012_val_00024348.JPEG
8701,8701_ILSVRC2012_val_00013829.JPEG
10150,10150_ILSVRC2012_val_00021987.JPEG
10273,10273_ILSVRC2012_val_00016167.JPEG
10730,10730_ILSVRC2012_val_00041363.JPEG
11065,11065_ILSVRC2012_val_00043680.JPEG
11739,11739_ILSVRC2012_val_00021893.JPEG
13133,13133_ILSVRC2012_val_00026165.JPEG
15604,15604_ILSVRC2012_val_00040721.JPEG
16809,16809_ILSVRC2012_val_00045201.JPEG
16854,16854_ILSVRC2012_val_00035551.JPEG
19141,19141_ILSVRC2012_val_00037249.JPEG
20422,20422_ILSVRC2012_val_00031800.JPEG
20517,20517_ILSVRC2012_val_00016940.JPEG
24740,24740_ILSVRC2012_val_00048243.JPEG
25988,25988_ILSVRC2012_val_00038144.JPEG
27572,27572_ILSVRC2012_val_00033480.JPEG
28291,28291_ILSVRC2012_val_00025229.JPEG
28724,28724_ILSVRC2012_val_00002945.JPEG
30216,30216_ILSVRC2012_val_00010124.JPEG
30456,30456_ILSVRC2012_val_00004645.JPEG
30653,30653_ILSVRC2012_val_00003653.JPEG
31591,31591_ILSVRC2012_val_00015918.JPEG
31607,31607_ILSVRC2012_val_00032201.JPEG
34206,34206_ILSVRC2012_val_00012333.JPEG
34393,34393_ILSVRC2012_val_00020643.JPEG
35990,35990_ILSVRC2012_val_00025614.JPEG
37985,37985_ILSVRC2012_val_00047459.JPEG
38507,38507_ILSVRC2012_val_00039720.JPEG
40135,40135_ILSVRC2012_val_00023839.JPEG
40832,40832_ILSVRC2012_val_00036037.JPEG
43128,43128_ILSVRC2012_val_00004768.JPEG
43736,43736_ILSVRC2012_val_00016373.JPEG
45623,45623_ILSVRC2012_val_00009375.JPEG
46210,46210_ILSVRC2012_val_00024695.JPEG
46238,46238_ILSVRC2012_val_00041407.JPEG
