rank,image_path
1560,1560_ILSVRC2012_val_00023383.JPEG
1982,1982_ILSVRC2012_val_00037743.JPEG
2249,2249_ILSVRC2012_val_00001003.JPEG
2990,2990_ILSVRC2012_val_00006700.JPEG
3415,3415_ILSVRC2012_val_00041520.JPEG
3523,3523_ILSVRC2012_val_00035501.JPEG
3585,3585_ILSVRC2012_val_00036257.JPEG
4005,4005_ILSVRC2012_val_00033103.JPEG
4419,4419_ILSVRC2012_val_00014331.JPEG
5259,5259_ILSVRC2012_val_00007315.JPEG
6086,6086_ILSVRC2012_val_00049865.JPEG
6137,6137_ILSVRC2012_val_00038993.JPEG
9096,9096_ILSVRC2012_val_00042981.JPEG
9922,9922_ILSVRC2012_val_00009363.JPEG
11880,11880_ILSVRC2012_val_00025734.JPEG
12160,12160_ILSVRC2012_val_00049288.JPEG
12408,12408_ILSVRC2012_val_00048792.JPEG
13604,13604_ILSVRC2012_val_00016733.JPEG
13829,13829_ILSVRC2012_val_00042334.JPEG
14219,14219_ILSVRC2012_val_00019533.JPEG
17745,17745_ILSVRC2012_val_00038622.JPEG
18232,18232_ILSVRC2012_val_00049024.JPEG
19556,19556_ILSVRC2012_val_00027471.JPEG
20319,20319_ILSVRC2012_val_00046102.JPEG
23188,23188_ILSVRC2012_val_00000502.JPEG
23297,23297_ILSVRC2012_val_00043512.JPEG
23488,23488_ILSVRC2012_val_00045433.JPEG
23615,23615_ILSVRC2012_val_00049770.JPEG
24644,24644_ILSVRC2012_val_00016105.JPEG
24838,24838_ILSVRC2012_val_00013919.JPEG
26589,26589_ILSVRC2012_val_00048669.JPEG
26739,26739_ILSVRC2012_val_00035136.JPEG
26805,26805_ILSVRC2012_val_00034812.JPEG
27570,27570_ILSVRC2012_val_00005344.JPEG
27642,27642_ILSVRC2012_val_00007457.JPEG
29794,29794_ILSVRC2012_val_00024584.JPEG
30599,30599_ILSVRC2012_val_00005551.JPEG
30995,30995_ILSVRC2012_val_00036710.JPEG
32602,32602_ILSVRC2012_val_00016497.JPEG
33916,33916_ILSVRC2012_val_00010476.JPEG
34632,34632_ILSVRC2012_val_00001237.JPEG
35491,35491_ILSVRC2012_val_00028178.JPEG
36625,36625_ILSVRC2012_val_00029719.JPEG
37863,37863_ILSVRC2012_val_00030458.JPEG
37883,37883_ILSVRC2012_val_00047262.JPEG
38646,38646_ILSVRC2012_val_00020198.JPEG
39241,39241_ILSVRC2012_val_00006392.JPEG
42420,42420_ILSVRC2012_val_00009581.JPEG
43799,43799_ILSVRC2012_val_00042187.JPEG
46551,46551_ILSVRC2012_val_00038414.JPEG
