rank,image_path
96,96_ILSVRC2012_val_00017652.JPEG
109,109_ILSVRC2012_val_00044688.JPEG
337,337_ILSVRC2012_val_00036114.JPEG
359,359_ILSVRC2012_val_00047634.JPEG
564,564_ILSVRC2012_val_00002256.JPEG
1145,1145_ILSVRC2012_val_00041457.JPEG
1294,1294_ILSVRC2012_val_00006511.JPEG
1602,1602_ILSVRC2012_val_00033082.JPEG
2257,2257_ILSVRC2012_val_00020659.JPEG
2405,2405_ILSVRC2012_val_00028669.JPEG
2645,2645_ILSVRC2012_val_00020625.JPEG
3859,3859_ILSVRC2012_val_00032015.JPEG
4204,4204_ILSVRC2012_val_00017306.JPEG
4319,4319_ILSVRC2012_val_00005261.JPEG
4361,4361_ILSVRC2012_val_00006870.JPEG
4540,4540_ILSVRC2012_val_00046790.JPEG
4858,4858_ILSVRC2012_val_00029824.JPEG
5128,5128_ILSVRC2012_val_00037466.JPEG
5627,5627_ILSVRC2012_val_00046281.JPEG
6434,6434_ILSVRC2012_val_00020863.JPEG
7693,7693_ILSVRC2012_val_00043284.JPEG
7731,7731_ILSVRC2012_val_00013595.JPEG
8244,8244_ILSVRC2012_val_00041592.JPEG
8968,8968_ILSVRC2012_val_00041002.JPEG
9294,9294_ILSVRC2012_val_00002009.JPEG
9410,9410_ILSVRC2012_val_00029116.JPEG
9995,9995_ILSVRC2012_val_00018018.JPEG
10021,10021_ILSVRC2012_val_00035384.JPEG
10035,10035_ILSVRC2012_val_00006346.JPEG
10159,10159_ILSVRC2012_val_00016231.JPEG
10875,10875_ILSVRC2012_val_00036670.JPEG
11116,11116_ILSVRC2012_val_00020706.JPEG
11214,11214_ILSVRC2012_val_00005692.JPEG
11429,11429_ILSVRC2012_val_00043881.JPEG
12092,12092_ILSVRC2012_val_00001451.JPEG
13296,13296_ILSVRC2012_val_00043311.JPEG
13432,13432_ILSVRC2012_val_00029166.JPEG
13610,13610_ILSVRC2012_val_00003909.JPEG
13934,13934_ILSVRC2012_val_00004389.JPEG
15479,15479_ILSVRC2012_val_00015947.JPEG
15526,15526_ILSVRC2012_val_00000047.JPEG
15699,15699_ILSVRC2012_val_00023669.JPEG
15962,15962_ILSVRC2012_val_00036338.JPEG
16315,16315_ILSVRC2012_val_00033953.JPEG
16336,16336_ILSVRC2012_val_00009717.JPEG
16361,16361_ILSVRC2012_val_00004018.JPEG
17618,17618_ILSVRC2012_val_00036706.JPEG
27829,27829_ILSVRC2012_val_00017525.JPEG
33766,33766_ILSVRC2012_val_00022885.JPEG
36722,36722_ILSVRC2012_val_00002595.JPEG
