rank,image_path
16139,16139_ILSVRC2012_val_00035422.JPEG
18863,18863_ILSVRC2012_val_00017396.JPEG
19204,19204_ILSVRC2012_val_00027646.JPEG
20479,20479_ILSVRC2012_val_00047233.JPEG
21369,21369_ILSVRC2012_val_00015984.JPEG
23350,23350_ILSVRC2012_val_00047824.JPEG
27915,27915_ILSVRC2012_val_00041297.JPEG
28576,28576_ILSVRC2012_val_00002860.JPEG
30088,30088_ILSVRC2012_val_00030273.JPEG
30307,30307_ILSVRC2012_val_00015489.JPEG
31318,31318_ILSVRC2012_val_00021535.JPEG
31320,31320_ILSVRC2012_val_00014537.JPEG
31403,31403_ILSVRC2012_val_00003111.JPEG
31553,31553_ILSVRC2012_val_00009196.JPEG
33036,33036_ILSVRC2012_val_00022472.JPEG
33737,33737_ILSVRC2012_val_00037961.JPEG
34235,34235_ILSVRC2012_val_00009309.JPEG
37020,37020_ILSVRC2012_val_00014088.JPEG
37353,37353_ILSVRC2012_val_00001620.JPEG
37799,37799_ILSVRC2012_val_00022777.JPEG
37938,37938_ILSVRC2012_val_00017770.JPEG
38809,38809_ILSVRC2012_val_00023630.JPEG
38965,38965_ILSVRC2012_val_00041721.JPEG
40027,40027_ILSVRC2012_val_00034320.JPEG
40122,40122_ILSVRC2012_val_00042145.JPEG
40428,40428_ILSVRC2012_val_00046101.JPEG
40434,40434_ILSVRC2012_val_00025760.JPEG
40448,40448_ILSVRC2012_val_00004787.JPEG
40840,40840_ILSVRC2012_val_00031422.JPEG
41227,41227_ILSVRC2012_val_00044810.JPEG
41228,41228_ILSVRC2012_val_00003162.JPEG
41308,41308_ILSVRC2012_val_00049474.JPEG
41622,41622_ILSVRC2012_val_00026723.JPEG
42273,42273_ILSVRC2012_val_00045855.JPEG
42319,42319_ILSVRC2012_val_00024865.JPEG
42542,42542_ILSVRC2012_val_00016201.JPEG
43757,43757_ILSVRC2012_val_00015937.JPEG
44044,44044_ILSVRC2012_val_00000516.JPEG
44353,44353_ILSVRC2012_val_00039653.JPEG
45144,45144_ILSVRC2012_val_00042520.JPEG
45220,45220_ILSVRC2012_val_00015404.JPEG
45921,45921_ILSVRC2012_val_00001843.JPEG
46001,46001_ILSVRC2012_val_00033419.JPEG
46431,46431_ILSVRC2012_val_00020087.JPEG
46504,46504_ILSVRC2012_val_00020799.JPEG
46526,46526_ILSVRC2012_val_00033436.JPEG
48108,48108_ILSVRC2012_val_00049394.JPEG
48454,48454_ILSVRC2012_val_00049919.JPEG
48567,48567_ILSVRC2012_val_00005394.JPEG
49321,49321_ILSVRC2012_val_00002423.JPEG
