rank,image_path
95,95_ILSVRC2012_val_00022172.JPEG
809,809_ILSVRC2012_val_00006234.JPEG
1824,1824_ILSVRC2012_val_00027150.JPEG
3215,3215_ILSVRC2012_val_00029377.JPEG
3565,3565_ILSVRC2012_val_00024560.JPEG
4197,4197_ILSVRC2012_val_00042802.JPEG
4454,4454_ILSVRC2012_val_00036233.JPEG
4665,4665_ILSVRC2012_val_00012925.JPEG
6092,6092_ILSVRC2012_val_00018227.JPEG
6361,6361_ILSVRC2012_val_00036554.JPEG
6679,6679_ILSVRC2012_val_00002434.JPEG
7715,7715_ILSVRC2012_val_00025379.JPEG
8020,8020_ILSVRC2012_val_00028914.JPEG
9347,9347_ILSVRC2012_val_00034417.JPEG
10907,10907_ILSVRC2012_val_00047374.JPEG
11018,11018_ILSVRC2012_val_00007519.JPEG
11216,11216_ILSVRC2012_val_00027110.JPEG
12466,12466_ILSVRC2012_val_00006922.JPEG
12845,12845_ILSVRC2012_val_00001144.JPEG
13157,13157_ILSVRC2012_val_00013925.JPEG
13225,13225_ILSVRC2012_val_00007477.JPEG
13450,13450_ILSVRC2012_val_00033842.JPEG
13499,13499_ILSVRC2012_val_00019147.JPEG
13566,13566_ILSVRC2012_val_00028190.JPEG
14472,14472_ILSVRC2012_val_00043909.JPEG
14634,14634_ILSVRC2012_val_00013827.JPEG
16474,16474_ILSVRC2012_val_00044888.JPEG
17554,17554_ILSVRC2012_val_00009345.JPEG
17773,17773_ILSVRC2012_val_00005744.JPEG
18116,18116_ILSVRC2012_val_00008430.JPEG
18609,18609_ILSVRC2012_val_00031313.JPEG
19009,19009_ILSVRC2012_val_00044976.JPEG
19507,19507_ILSVRC2012_val_00026865.JPEG
19625,19625_ILSVRC2012_val_00041478.JPEG
19882,19882_ILSVRC2012_val_00034078.JPEG
23976,23976_ILSVRC2012_val_00038268.JPEG
24298,24298_ILSVRC2012_val_00021253.JPEG
24749,24749_ILSVRC2012_val_00005094.JPEG
24883,24883_ILSVRC2012_val_00002210.JPEG
25374,25374_ILSVRC2012_val_00013958.JPEG
27484,27484_ILSVRC2012_val_00039069.JPEG
27966,27966_ILSVRC2012_val_00034001.JPEG
28477,28477_ILSVRC2012_val_00025416.JPEG
28619,28619_ILSVRC2012_val_00016208.JPEG
29115,29115_ILSVRC2012_val_00047189.JPEG
32007,32007_ILSVRC2012_val_00042487.JPEG
35381,35381_ILSVRC2012_val_00004119.JPEG
35459,35459_ILSVRC2012_val_00046913.JPEG
40654,40654_ILSVRC2012_val_00032800.JPEG
48404,48404_ILSVRC2012_val_00037947.JPEG
