rank,image_path
121,121_ILSVRC2012_val_00005183.JPEG
1230,1230_ILSVRC2012_val_00032455.JPEG
2318,2318_ILSVRC2012_val_00012504.JPEG
4543,4543_ILSVRC2012_val_00019256.JPEG
5075,5075_ILSVRC2012_val_00035242.JPEG
6581,6581_ILSVRC2012_val_00044370.JPEG
7190,7190_ILSVRC2012_val_00045944.JPEG
7267,7267_ILSVRC2012_val_00009821.JPEG
8961,8961_ILSVRC2012_val_00048977.JPEG
9677,9677_ILSVRC2012_val_00002049.JPEG
9914,9914_ILSVRC2012_val_00045353.JPEG
10244,10244_ILSVRC2012_val_00035913.JPEG
10665,10665_ILSVRC2012_val_00022252.JPEG
12472,12472_ILSVRC2012_val_00022538.JPEG
12788,12788_ILSVRC2012_val_00009279.JPEG
12942,12942_ILSVRC2012_val_00017469.JPEG
13635,13635_ILSVRC2012_val_00040715.JPEG
14600,14600_ILSVRC2012_val_00006909.JPEG
14722,14722_ILSVRC2012_val_00004860.JPEG
17139,17139_ILSVRC2012_val_00031186.JPEG
18807,18807_ILSVRC2012_val_00006434.JPEG
19611,19611_ILSVRC2012_val_00005996.JPEG
20004,20004_ILSVRC2012_val_00024806.JPEG
20308,20308_ILSVRC2012_val_00042375.JPEG
20470,20470_ILSVRC2012_val_00013436.JPEG
22833,22833_ILSVRC2012_val_00004452.JPEG
23369,23369_ILSVRC2012_val_00029203.JPEG
23814,23814_ILSVRC2012_val_00033364.JPEG
23990,23990_ILSVRC2012_val_00044734.JPEG
24074,24074_ILSVRC2012_val_00007186.JPEG
24166,24166_ILSVRC2012_val_00037555.JPEG
24668,24668_ILSVRC2012_val_00017866.JPEG
25593,25593_ILSVRC2012_val_00045559.JPEG
26533,26533_ILSVRC2012_val_00035211.JPEG
27066,27066_ILSVRC2012_val_00015654.JPEG
28387,28387_ILSVRC2012_val_00020951.JPEG
28577,28577_ILSVRC2012_val_00017466.JPEG
31540,31540_ILSVRC2012_val_00019667.JPEG
32059,32059_ILSVRC2012_val_00046178.JPEG
32074,32074_ILSVRC2012_val_00002498.JPEG
32567,32567_ILSVRC2012_val_00001432.JPEG
33380,33380_ILSVRC2012_val_00032250.JPEG
34414,34414_ILSVRC2012_val_00000732.JPEG
36489,36489_ILSVRC2012_val_00017350.JPEG
37059,37059_ILSVRC2012_val_00048059.JPEG
37180,37180_ILSVRC2012_val_00031412.JPEG
40472,40472_ILSVRC2012_val_00018516.JPEG
41463,41463_ILSVRC2012_val_00023044.JPEG
43275,43275_ILSVRC2012_val_00007471.JPEG
47937,47937_ILSVRC2012_val_00018006.JPEG
