rank,image_path
1770,1770_ILSVRC2012_val_00026832.JPEG
2101,2101_ILSVRC2012_val_00013630.JPEG
2158,2158_ILSVRC2012_val_00039279.JPEG
2866,2866_ILSVRC2012_val_00023123.JPEG
3730,3730_ILSVRC2012_val_00007669.JPEG
4248,4248_ILSVRC2012_val_00005055.JPEG
4257,4257_ILSVRC2012_val_00027495.JPEG
4796,4796_ILSVRC2012_val_00006147.JPEG
7160,7160_ILSVRC2012_val_00040636.JPEG
8247,8247_ILSVRC2012_val_00048697.JPEG
10030,10030_ILSVRC2012_val_00017033.JPEG
10425,10425_ILSVRC2012_val_00011700.JPEG
11870,11870_ILSVRC2012_val_00040202.JPEG
14198,14198_ILSVRC2012_val_00036432.JPEG
14493,14493_ILSVRC2012_val_00026931.JPEG
14765,14765_ILSVRC2012_val_00016675.JPEG
16205,16205_ILSVRC2012_val_00023331.JPEG
16733,16733_ILSVRC2012_val_00007659.JPEG
19976,19976_ILSVRC2012_val_00012981.JPEG
20617,20617_ILSVRC2012_val_00035533.JPEG
20794,20794_ILSVRC2012_val_00007166.JPEG
21367,21367_ILSVRC2012_val_00028515.JPEG
21967,21967_ILSVRC2012_val_00015369.JPEG
22389,22389_ILSVRC2012_val_00029263.JPEG
24910,24910_ILSVRC2012_val_00009479.JPEG
24922,24922_ILSVRC2012_val_00031677.JPEG
25533,25533_ILSVRC2012_val_00036966.JPEG
26501,26501_ILSVRC2012_val_00011486.JPEG
26608,26608_ILSVRC2012_val_00021850.JPEG
27615,27615_ILSVRC2012_val_00018874.JPEG
28129,28129_ILSVRC2012_val_00009791.JPEG
28166,28166_ILSVRC2012_val_00009685.JPEG
28685,28685_ILSVRC2012_val_00043184.JPEG
29680,29680_ILSVRC2012_val_00027617.JPEG
31121,31121_ILSVRC2012_val_00005566.JPEG
31148,31148_ILSVRC2012_val_00023141.JPEG
31151,31151_ILSVRC2012_val_00047935.JPEG
31418,31418_ILSVRC2012_val_00018376.JPEG
31465,31465_ILSVRC2012_val_00025425.JPEG
32525,32525_ILSVRC2012_val_00043389.JPEG
35400,35400_ILSVRC2012_val_00043852.JPEG
35467,35467_ILSVRC2012_val_00009506.JPEG
37103,37103_ILSVRC2012_val_00009315.JPEG
38080,38080_ILSVRC2012_val_00017928.JPEG
39522,39522_ILSVRC2012_val_00002290.JPEG
41561,41561_ILSVRC2012_val_00005630.JPEG
42324,42324_ILSVRC2012_val_00027964.JPEG
42647,42647_ILSVRC2012_val_00008355.JPEG
42843,42843_ILSVRC2012_val_00034204.JPEG
43836,43836_ILSVRC2012_val_00014992.JPEG
