rank,image_path
102,102_ILSVRC2012_val_00008673.JPEG
322,322_ILSVRC2012_val_00041143.JPEG
516,516_ILSVRC2012_val_00034983.JPEG
555,555_ILSVRC2012_val_00012542.JPEG
1364,1364_ILSVRC2012_val_00015426.JPEG
1964,1964_ILSVRC2012_val_00031095.JPEG
2226,2226_ILSVRC2012_val_00006448.JPEG
2292,2292_ILSVRC2012_val_00014668.JPEG
2678,2678_ILSVRC2012_val_00042615.JPEG
2956,2956_ILSVRC2012_val_00044876.JPEG
3292,3292_ILSVRC2012_val_00007767.JPEG
3553,3553_ILSVRC2012_val_00007107.JPEG
4354,4354_ILSVRC2012_val_00026307.JPEG
4379,4379_ILSVRC2012_val_00021488.JPEG
4606,4606_ILSVRC2012_val_00021267.JPEG
4928,4928_ILSVRC2012_val_00045697.JPEG
5392,5392_ILSVRC2012_val_00025542.JPEG
6634,6634_ILSVRC2012_val_00006543.JPEG
6905,6905_ILSVRC2012_val_00042190.JPEG
8985,8985_ILSVRC2012_val_00031896.JPEG
9428,9428_ILSVRC2012_val_00021336.JPEG
9702,9702_ILSVRC2012_val_00035397.JPEG
9726,9726_ILSVRC2012_val_00038969.JPEG
10614,10614_ILSVRC2012_val_00012855.JPEG
10667,10667_ILSVRC2012_val_00012726.JPEG
11785,11785_ILSVRC2012_val_00034442.JPEG
12199,12199_ILSVRC2012_val_00031650.JPEG
12455,12455_ILSVRC2012_val_00034060.JPEG
12599,12599_ILSVRC2012_val_00023272.JPEG
12835,12835_ILSVRC2012_val_00007942.JPEG
13027,13027_ILSVRC2012_val_00005669.JPEG
13251,13251_ILSVRC2012_val_00043447.JPEG
13429,13429_ILSVRC2012_val_00029121.JPEG
14751,14751_ILSVRC2012_val_00000657.JPEG
16794,16794_ILSVRC2012_val_00025586.JPEG
17015,17015_ILSVRC2012_val_00014901.JPEG
17291,17291_ILSVRC2012_val_00027242.JPEG
18016,18016_ILSVRC2012_val_00048200.JPEG
19059,19059_ILSVRC2012_val_00032095.JPEG
19525,19525_ILSVRC2012_val_00047796.JPEG
21487,21487_ILSVRC2012_val_00000481.JPEG
21947,21947_ILSVRC2012_val_00029579.JPEG
22236,22236_ILSVRC2012_val_00006012.JPEG
23452,23452_ILSVRC2012_val_00009025.JPEG
24046,24046_ILSVRC2012_val_00032206.JPEG
26674,26674_ILSVRC2012_val_00042787.JPEG
35793,35793_ILSVRC2012_val_00027510.JPEG
36186,36186_ILSVRC2012_val_00017598.JPEG
42114,42114_ILSVRC2012_val_00022314.JPEG
47013,47013_ILSVRC2012_val_00022427.JPEG
