rank,image_path
197,197_ILSVRC2012_val_00002511.JPEG
393,393_ILSVRC2012_val_00040434.JPEG
508,508_ILSVRC2012_val_00049639.JPEG
1057,1057_ILSVRC2012_val_00023030.JPEG
1499,1499_ILSVRC2012_val_00027519.JPEG
2415,2415_ILSVRC2012_val_00000318.JPEG
2457,2457_ILSVRC2012_val_00008209.JPEG
3281,3281_ILSVRC2012_val_00029497.JPEG
3486,3486_ILSVRC2012_val_00018062.JPEG
3636,3636_ILSVRC2012_val_00034593.JPEG
4694,4694_ILSVRC2012_val_00009842.JPEG
4788,4788_ILSVRC2012_val_00016292.JPEG
5107,5107_ILSVRC2012_val_00043466.JPEG
5668,5668_ILSVRC2012_val_00002228.JPEG
5831,5831_ILSVRC2012_val_00035608.JPEG
6422,6422_ILSVRC2012_val_00025523.JPEG
6533,6533_ILSVRC2012_val_00031144.JPEG
6538,6538_ILSVRC2012_val_00033063.JPEG
6703,6703_ILSVRC2012_val_00037606.JPEG
6767,6767_ILSVRC2012_val_00005770.JPEG
7124,7124_ILSVRC2012_val_00027627.JPEG
8597,8597_ILSVRC2012_val_00022709.JPEG
8816,8816_ILSVRC2012_val_00047963.JPEG
9148,9148_ILSVRC2012_val_00014982.JPEG
9993,9993_ILSVRC2012_val_00010022.JPEG
10083,10083_ILSVRC2012_val_00010457.JPEG
10157,10157_ILSVRC2012_val_00024052.JPEG
10522,10522_ILSVRC2012_val_00008049.JPEG
10911,10911_ILSVRC2012_val_00049990.JPEG
11159,11159_ILSVRC2012_val_00006916.JPEG
11273,11273_ILSVRC2012_val_00011414.JPEG
11594,11594_ILSVRC2012_val_00008178.JPEG
11933,11933_ILSVRC2012_val_00006472.JPEG
12027,12027_ILSVRC2012_val_00026579.JPEG
12053,12053_ILSVRC2012_val_00021335.JPEG
12513,12513_ILSVRC2012_val_00032875.JPEG
12597,12597_ILSVRC2012_val_00001213.JPEG
12811,12811_ILSVRC2012_val_00003169.JPEG
13073,13073_ILSVRC2012_val_00035098.JPEG
13357,13357_ILSVRC2012_val_00031890.JPEG
13456,13456_ILSVRC2012_val_00048175.JPEG
13655,13655_ILSVRC2012_val_00009415.JPEG
14126,14126_ILSVRC2012_val_00021133.JPEG
14450,14450_ILSVRC2012_val_00034405.JPEG
14610,14610_ILSVRC2012_val_00025913.JPEG
19450,19450_ILSVRC2012_val_00004859.JPEG
22548,22548_ILSVRC2012_val_00018660.JPEG
27226,27226_ILSVRC2012_val_00015913.JPEG
37405,37405_ILSVRC2012_val_00003892.JPEG
43093,43093_ILSVRC2012_val_00004345.JPEG
