rank,image_path
1408,1408_ILSVRC2012_val_00014654.JPEG
1709,1709_ILSVRC2012_val_00028358.JPEG
2414,2414_ILSVRC2012_val_00007776.JPEG
4038,4038_ILSVRC2012_val_00042668.JPEG
5105,5105_ILSVRC2012_val_00028752.JPEG
6641,6641_ILSVRC2012_val_00005484.JPEG
7099,7099_ILSVRC2012_val_00004988.JPEG
8455,8455_ILSVRC2012_val_00037499.JPEG
10601,10601_ILSVRC2012_val_00034033.JPEG
11597,11597_ILSVRC2012_val_00005071.JPEG
12005,12005_ILSVRC2012_val_00022019.JPEG
12316,12316_ILSVRC2012_val_00035352.JPEG
13540,13540_ILSVRC2012_val_00005272.JPEG
13614,13614_ILSVRC2012_val_00049183.JPEG
13807,13807_ILSVRC2012_val_00005989.JPEG
15495,15495_ILSVRC2012_val_00024706.JPEG
16626,16626_ILSVRC2012_val_00014419.JPEG
18970,18970_ILSVRC2012_val_00030218.JPEG
19571,19571_ILSVRC2012_val_00044055.JPEG
20341,20341_ILSVRC2012_val_00029630.JPEG
20820,20820_ILSVRC2012_val_00006489.JPEG
21446,21446_ILSVRC2012_val_00029112.JPEG
22845,22845_ILSVRC2012_val_00013614.JPEG
23280,23280_ILSVRC2012_val_00002474.JPEG
24744,24744_ILSVRC2012_val_00028356.JPEG
26419,26419_ILSVRC2012_val_00009278.JPEG
26492,26492_ILSVRC2012_val_00035478.JPEG
26955,26955_ILSVRC2012_val_00010226.JPEG
27729,27729_ILSVRC2012_val_00008694.JPEG
28344,28344_ILSVRC2012_val_00023965.JPEG
28896,28896_ILSVRC2012_val_00016907.JPEG
30116,30116_ILSVRC2012_val_00021681.JPEG
31454,31454_ILSVRC2012_val_00006829.JPEG
32294,32294_ILSVRC2012_val_00036327.JPEG
32404,32404_ILSVRC2012_val_00029791.JPEG
32491,32491_ILSVRC2012_val_00049086.JPEG
33393,33393_ILSVRC2012_val_00013946.JPEG
33924,33924_ILSVRC2012_val_00014300.JPEG
34245,34245_ILSVRC2012_val_00014593.JPEG
34445,34445_ILSVRC2012_val_00030145.JPEG
36219,36219_ILSVRC2012_val_00045437.JPEG
36251,36251_ILSVRC2012_val_00002238.JPEG
36696,36696_ILSVRC2012_val_00009006.JPEG
37069,37069_ILSVRC2012_val_00010930.JPEG
37410,37410_ILSVRC2012_val_00048899.JPEG
40500,40500_ILSVRC2012_val_00001543.JPEG
41994,41994_ILSVRC2012_val_00000295.JPEG
42068,42068_ILSVRC2012_val_00041009.JPEG
42314,42314_ILSVRC2012_val_00019847.JPEG
44611,44611_ILSVRC2012_val_00041313.JPEG
