rank,image_path
1528,1528_ILSVRC2012_val_00045580.JPEG
2006,2006_ILSVRC2012_val_00044788.JPEG
2571,2571_ILSVRC2012_val_00015139.JPEG
3973,3973_ILSVRC2012_val_00024015.JPEG
5807,5807_ILSVRC2012_val_00047320.JPEG
6311,6311_ILSVRC2012_val_00016259.JPEG
6793,6793_ILSVRC2012_val_00003558.JPEG
8509,8509_ILSVRC2012_val_00018948.JPEG
10132,10132_ILSVRC2012_val_00015545.JPEG
11298,11298_ILSVRC2012_val_00023074.JPEG
11367,11367_ILSVRC2012_val_00031424.JPEG
11466,11466_ILSVRC2012_val_00012879.JPEG
12457,12457_ILSVRC2012_val_00029886.JPEG
13926,13926_ILSVRC2012_val_00037705.JPEG
14530,14530_ILSVRC2012_val_00045133.JPEG
14731,14731_ILSVRC2012_val_00027283.JPEG
15796,15796_ILSVRC2012_val_00027113.JPEG
16364,16364_ILSVRC2012_val_00048576.JPEG
16743,16743_ILSVRC2012_val_00004417.JPEG
18080,18080_ILSVRC2012_val_00027160.JPEG
18149,18149_ILSVRC2012_val_00028084.JPEG
19653,19653_ILSVRC2012_val_00016834.JPEG
19958,19958_ILSVRC2012_val_00009460.JPEG
20053,20053_ILSVRC2012_val_00011388.JPEG
20085,20085_ILSVRC2012_val_00041400.JPEG
21674,21674_ILSVRC2012_val_00025627.JPEG
21975,21975_ILSVRC2012_val_00023986.JPEG
22576,22576_ILSVRC2012_val_00031169.JPEG
22607,22607_ILSVRC2012_val_00016347.JPEG
23833,23833_ILSVRC2012_val_00013847.JPEG
24801,24801_ILSVRC2012_val_00009978.JPEG
24983,24983_ILSVRC2012_val_00047431.JPEG
25063,25063_ILSVRC2012_val_00026490.JPEG
25189,25189_ILSVRC2012_val_00016395.JPEG
25907,25907_ILSVRC2012_val_00035367.JPEG
26450,26450_ILSVRC2012_val_00039588.JPEG
27774,27774_ILSVRC2012_val_00007405.JPEG
27801,27801_ILSVRC2012_val_00049166.JPEG
28990,28990_ILSVRC2012_val_00036479.JPEG
29559,29559_ILSVRC2012_val_00045925.JPEG
30499,30499_ILSVRC2012_val_00020418.JPEG
34744,34744_ILSVRC2012_val_00001676.JPEG
39042,39042_ILSVRC2012_val_00018943.JPEG
39324,39324_ILSVRC2012_val_00005339.JPEG
40124,40124_ILSVRC2012_val_00034115.JPEG
41123,41123_ILSVRC2012_val_00021325.JPEG
41219,41219_ILSVRC2012_val_00034178.JPEG
41573,41573_ILSVRC2012_val_00040843.JPEG
44372,44372_ILSVRC2012_val_00012546.JPEG
46854,46854_ILSVRC2012_val_00022552.JPEG
