rank,image_path
1844,1844_ILSVRC2012_val_00046191.JPEG
2315,2315_ILSVRC2012_val_00043439.JPEG
2842,2842_ILSVRC2012_val_00000741.JPEG
2983,2983_ILSVRC2012_val_00002984.JPEG
3464,3464_ILSVRC2012_val_00000054.JPEG
4572,4572_ILSVRC2012_val_00004139.JPEG
4772,4772_ILSVRC2012_val_00028249.JPEG
4910,4910_ILSVRC2012_val_00019018.JPEG
6367,6367_ILSVRC2012_val_00036754.JPEG
7807,7807_ILSVRC2012_val_00034464.JPEG
9588,9588_ILSVRC2012_val_00044989.JPEG
16662,16662_ILSVRC2012_val_00036948.JPEG
16850,16850_ILSVRC2012_val_00048409.JPEG
16907,16907_ILSVRC2012_val_00022649.JPEG
16971,16971_ILSVRC2012_val_00045092.JPEG
17366,17366_ILSVRC2012_val_00020447.JPEG
17796,17796_ILSVRC2012_val_00012876.JPEG
19020,19020_ILSVRC2012_val_00011796.JPEG
19627,19627_ILSVRC2012_val_00017704.JPEG
19816,19816_ILSVRC2012_val_00010782.JPEG
19888,19888_ILSVRC2012_val_00036007.JPEG
19903,19903_ILSVRC2012_val_00049825.JPEG
22824,22824_ILSVRC2012_val_00033870.JPEG
22915,22915_ILSVRC2012_val_00018118.JPEG
23661,23661_ILSVRC2012_val_00045941.JPEG
25314,25314_ILSVRC2012_val_00010515.JPEG
25645,25645_ILSVRC2012_val_00022523.JPEG
25695,25695_ILSVRC2012_val_00017837.JPEG
26023,26023_ILSVRC2012_val_00031398.JPEG
29141,29141_ILSVRC2012_val_00001897.JPEG
30064,30064_ILSVRC2012_val_00000305.JPEG
30690,30690_ILSVRC2012_val_00035523.JPEG
31096,31096_ILSVRC2012_val_00045988.JPEG
31809,31809_ILSVRC2012_val_00042407.JPEG
31813,31813_ILSVRC2012_val_00027659.JPEG
31821,31821_ILSVRC2012_val_00041259.JPEG
31928,31928_ILSVRC2012_val_00005801.JPEG
32376,32376_ILSVRC2012_val_00043533.JPEG
32990,32990_ILSVRC2012_val_00002861.JPEG
34917,34917_ILSVRC2012_val_00019813.JPEG
35807,35807_ILSVRC2012_val_00019126.JPEG
37697,37697_ILSVRC2012_val_00025603.JPEG
39815,39815_ILSVRC2012_val_00000902.JPEG
42268,42268_ILSVRC2012_val_00018873.JPEG
43976,43976_ILSVRC2012_val_00047363.JPEG
45847,45847_ILSVRC2012_val_00036155.JPEG
47093,47093_ILSVRC2012_val_00023745.JPEG
47287,47287_ILSVRC2012_val_00034179.JPEG
47819,47819_ILSVRC2012_val_00019769.JPEG
48150,48150_ILSVRC2012_val_00017018.JPEG
