rank,image_path
242,242_ILSVRC2012_val_00046910.JPEG
1030,1030_ILSVRC2012_val_00004954.JPEG
1344,1344_ILSVRC2012_val_00040085.JPEG
1363,1363_ILSVRC2012_val_00008995.JPEG
1685,1685_ILSVRC2012_val_00015768.JPEG
2198,2198_ILSVRC2012_val_00032719.JPEG
2497,2497_ILSVRC2012_val_00027190.JPEG
3040,3040_ILSVRC2012_val_00021401.JPEG
3125,3125_ILSVRC2012_val_00039186.JPEG
3344,3344_ILSVRC2012_val_00039792.JPEG
4172,4172_ILSVRC2012_val_00043468.JPEG
4382,4382_ILSVRC2012_val_00037094.JPEG
4505,4505_ILSVRC2012_val_00035032.JPEG
4557,4557_ILSVRC2012_val_00006832.JPEG
5635,5635_ILSVRC2012_val_00023475.JPEG
7181,7181_ILSVRC2012_val_00002209.JPEG
8794,8794_ILSVRC2012_val_00044541.JPEG
8943,8943_ILSVRC2012_val_00049593.JPEG
9586,9586_ILSVRC2012_val_00020312.JPEG
10015,10015_ILSVRC2012_val_00030189.JPEG
11465,11465_ILSVRC2012_val_00034624.JPEG
11812,11812_ILSVRC2012_val_00008462.JPEG
12504,12504_ILSVRC2012_val_00044278.JPEG
13669,13669_ILSVRC2012_val_00038244.JPEG
14657,14657_ILSVRC2012_val_00019556.JPEG
14658,14658_ILSVRC2012_val_00030996.JPEG
15584,15584_ILSVRC2012_val_00015833.JPEG
15921,15921_ILSVRC2012_val_00028762.JPEG
16528,16528_ILSVRC2012_val_00043409.JPEG
16684,16684_ILSVRC2012_val_00041694.JPEG
17136,17136_ILSVRC2012_val_00048034.JPEG
18245,18245_ILSVRC2012_val_00009134.JPEG
18305,18305_ILSVRC2012_val_00042991.JPEG
18349,18349_ILSVRC2012_val_00040680.JPEG
19438,19438_ILSVRC2012_val_00030237.JPEG
21106,21106_ILSVRC2012_val_00042353.JPEG
21672,21672_ILSVRC2012_val_00022015.JPEG
22268,22268_ILSVRC2012_val_00025194.JPEG
22395,22395_ILSVRC2012_val_00030551.JPEG
22736,22736_ILSVRC2012_val_00016855.JPEG
25065,25065_ILSVRC2012_val_00014569.JPEG
25422,25422_ILSVRC2012_val_00016877.JPEG
25827,25827_ILSVRC2012_val_00000448.JPEG
27990,27990_ILSVRC2012_val_00047550.JPEG
29425,29425_ILSVRC2012_val_00010855.JPEG
32604,32604_ILSVRC2012_val_00003669.JPEG
35754,35754_ILSVRC2012_val_00010540.JPEG
37490,37490_ILSVRC2012_val_00036786.JPEG
40234,40234_ILSVRC2012_val_00049493.JPEG
45632,45632_ILSVRC2012_val_00009425.JPEG
