rank,image_path
754,754_ILSVRC2012_val_00015941.JPEG
2955,2955_ILSVRC2012_val_00035681.JPEG
2982,2982_ILSVRC2012_val_00048961.JPEG
3528,3528_ILSVRC2012_val_00048862.JPEG
3614,3614_ILSVRC2012_val_00013970.JPEG
4876,4876_ILSVRC2012_val_00032094.JPEG
6323,6323_ILSVRC2012_val_00020334.JPEG
6774,6774_ILSVRC2012_val_00046012.JPEG
9416,9416_ILSVRC2012_val_00005252.JPEG
11446,11446_ILSVRC2012_val_00037531.JPEG
13937,13937_ILSVRC2012_val_00018352.JPEG
15014,15014_ILSVRC2012_val_00032192.JPEG
15698,15698_ILSVRC2012_val_00003459.JPEG
16496,16496_ILSVRC2012_val_00019494.JPEG
17954,17954_ILSVRC2012_val_00044203.JPEG
18132,18132_ILSVRC2012_val_00009302.JPEG
19221,19221_ILSVRC2012_val_00046905.JPEG
19959,19959_ILSVRC2012_val_00027389.JPEG
20717,20717_ILSVRC2012_val_00012088.JPEG
22587,22587_ILSVRC2012_val_00022171.JPEG
25207,25207_ILSVRC2012_val_00008590.JPEG
26316,26316_ILSVRC2012_val_00021507.JPEG
27041,27041_ILSVRC2012_val_00027202.JPEG
27275,27275_ILSVRC2012_val_00000015.JPEG
28966,28966_ILSVRC2012_val_00023918.JPEG
29361,29361_ILSVRC2012_val_00013315.JPEG
29903,29903_ILSVRC2012_val_00015968.JPEG
29998,29998_ILSVRC2012_val_00001840.JPEG
30281,30281_ILSVRC2012_val_00046679.JPEG
30832,30832_ILSVRC2012_val_00043188.JPEG
31345,31345_ILSVRC2012_val_00000919.JPEG
32153,32153_ILSVRC2012_val_00045846.JPEG
32572,32572_ILSVRC2012_val_00007544.JPEG
33183,33183_ILSVRC2012_val_00032227.JPEG
33925,33925_ILSVRC2012_val_00005212.JPEG
34373,34373_ILSVRC2012_val_00048561.JPEG
34412,34412_ILSVRC2012_val_00046202.JPEG
34624,34624_ILSVRC2012_val_00010630.JPEG
35048,35048_ILSVRC2012_val_00007706.JPEG
36042,36042_ILSVRC2012_val_00007121.JPEG
36387,36387_ILSVRC2012_val_00036671.JPEG
36881,36881_ILSVRC2012_val_00040735.JPEG
39635,39635_ILSVRC2012_val_00014167.JPEG
39879,39879_ILSVRC2012_val_00038347.JPEG
42117,42117_ILSVRC2012_val_00010776.JPEG
43058,43058_ILSVRC2012_val_00006465.JPEG
45361,45361_ILSVRC2012_val_00030173.JPEG
47270,47270_ILSVRC2012_val_00000862.JPEG
48340,48340_ILSVRC2012_val_00029504.JPEG
49569,49569_ILSVRC2012_val_00005997.JPEG
