rank,image_path
70,70_ILSVRC2012_val_00016193.JPEG
268,268_ILSVRC2012_val_00002479.JPEG
382,382_ILSVRC2012_val_00000107.JPEG
776,776_ILSVRC2012_val_00017153.JPEG
778,778_ILSVRC2012_val_00030563.JPEG
941,941_ILSVRC2012_val_00006567.JPEG
2053,2053_ILSVRC2012_val_00019485.JPEG
2403,2403_ILSVRC2012_val_00014664.JPEG
2694,2694_ILSVRC2012_val_00037758.JPEG
4136,4136_ILSVRC2012_val_00007810.JPEG
4573,4573_ILSVRC2012_val_00028679.JPEG
4607,4607_ILSVRC2012_val_00032766.JPEG
5023,5023_ILSVRC2012_val_00016507.JPEG
5053,5053_ILSVRC2012_val_00042970.JPEG
6842,6842_ILSVRC2012_val_00036658.JPEG
7421,7421_ILSVRC2012_val_00008079.JPEG
7524,7524_ILSVRC2012_val_00030422.JPEG
8593,8593_ILSVRC2012_val_00031952.JPEG
9167,9167_ILSVRC2012_val_00006831.JPEG
9573,9573_ILSVRC2012_val_00045563.JPEG
9966,9966_ILSVRC2012_val_00039298.JPEG
10034,10034_ILSVRC2012_val_00000877.JPEG
10984,10984_ILSVRC2012_val_00035512.JPEG
13030,13030_ILSVRC2012_val_00015566.JPEG
13402,13402_ILSVRC2012_val_00021658.JPEG
13789,13789_ILSVRC2012_val_00022764.JPEG
15232,15232_ILSVRC2012_val_00047257.JPEG
15546,15546_ILSVRC2012_val_00004146.JPEG
17033,17033_ILSVRC2012_val_00038440.JPEG
17224,17224_ILSVRC2012_val_00016318.JPEG
18499,18499_ILSVRC2012_val_00040621.JPEG
18878,18878_ILSVRC2012_val_00022039.JPEG
21096,21096_ILSVRC2012_val_00048708.JPEG
21520,21520_ILSVRC2012_val_00042630.JPEG
22255,22255_ILSVRC2012_val_00031037.JPEG
25159,25159_ILSVRC2012_val_00030812.JPEG
25199,25199_ILSVRC2012_val_00008919.JPEG
26972,26972_ILSVRC2012_val_00004172.JPEG
29151,29151_ILSVRC2012_val_00037311.JPEG
31203,31203_ILSVRC2012_val_00029801.JPEG
32536,32536_ILSVRC2012_val_00045376.JPEG
33701,33701_ILSVRC2012_val_00012828.JPEG
33853,33853_ILSVRC2012_val_00037787.JPEG
35490,35490_ILSVRC2012_val_00047984.JPEG
35675,35675_ILSVRC2012_val_00047164.JPEG
36599,36599_ILSVRC2012_val_00038467.JPEG
37987,37987_ILSVRC2012_val_00030649.JPEG
41722,41722_ILSVRC2012_val_00033817.JPEG
42495,42495_ILSVRC2012_val_00014971.JPEG
44499,44499_ILSVRC2012_val_00020462.JPEG
