rank,image_path
14772,14772_ILSVRC2012_val_00045508.JPEG
15124,15124_ILSVRC2012_val_00041312.JPEG
20392,20392_ILSVRC2012_val_00031710.JPEG
23208,23208_ILSVRC2012_val_00002588.JPEG
23267,23267_ILSVRC2012_val_00044873.JPEG
24937,24937_ILSVRC2012_val_00007225.JPEG
25407,25407_ILSVRC2012_val_00004068.JPEG
27260,27260_ILSVRC2012_val_00016204.JPEG
27319,27319_ILSVRC2012_val_00031055.JPEG
27455,27455_ILSVRC2012_val_00027332.JPEG
27712,27712_ILSVRC2012_val_00005550.JPEG
27899,27899_ILSVRC2012_val_00030666.JPEG
28222,28222_ILSVRC2012_val_00038419.JPEG
28851,28851_ILSVRC2012_val_00023600.JPEG
29318,29318_ILSVRC2012_val_00028576.JPEG
29980,29980_ILSVRC2012_val_00011994.JPEG
30670,30670_ILSVRC2012_val_00003307.JPEG
31269,31269_ILSVRC2012_val_00047936.JPEG
32428,32428_ILSVRC2012_val_00004846.JPEG
32613,32613_ILSVRC2012_val_00015079.JPEG
32720,32720_ILSVRC2012_val_00031367.JPEG
33000,33000_ILSVRC2012_val_00002436.JPEG
33077,33077_ILSVRC2012_val_00032383.JPEG
33143,33143_ILSVRC2012_val_00017263.JPEG
33928,33928_ILSVRC2012_val_00021394.JPEG
34494,34494_ILSVRC2012_val_00016914.JPEG
35089,35089_ILSVRC2012_val_00017235.JPEG
35248,35248_ILSVRC2012_val_00017784.JPEG
35689,35689_ILSVRC2012_val_00041471.JPEG
35786,35786_ILSVRC2012_val_00021304.JPEG
35806,35806_ILSVRC2012_val_00023332.JPEG
36331,36331_ILSVRC2012_val_00040211.JPEG
36674,36674_ILSVRC2012_val_00032709.JPEG
37977,37977_ILSVRC2012_val_00032228.JPEG
38806,38806_ILSVRC2012_val_00042039.JPEG
39144,39144_ILSVRC2012_val_00040931.JPEG
40011,40011_ILSVRC2012_val_00025619.JPEG
40551,40551_ILSVRC2012_val_00034911.JPEG
41444,41444_ILSVRC2012_val_00017118.JPEG
42459,42459_ILSVRC2012_val_00020887.JPEG
42838,42838_ILSVRC2012_val_00046192.JPEG
43520,43520_ILSVRC2012_val_00009028.JPEG
44220,44220_ILSVRC2012_val_00033954.JPEG
44740,44740_ILSVRC2012_val_00012745.JPEG
44805,44805_ILSVRC2012_val_00040559.JPEG
45850,45850_ILSVRC2012_val_00047210.JPEG
45911,45911_ILSVRC2012_val_00030655.JPEG
46970,46970_ILSVRC2012_val_00013140.JPEG
48071,48071_ILSVRC2012_val_00047673.JPEG
48417,48417_ILSVRC2012_val_00023035.JPEG
