rank,image_path
2141,2141_ILSVRC2012_val_00031669.JPEG
2495,2495_ILSVRC2012_val_00017210.JPEG
3368,3368_ILSVRC2012_val_00018543.JPEG
3956,3956_ILSVRC2012_val_00020929.JPEG
4493,4493_ILSVRC2012_val_00015104.JPEG
5755,5755_ILSVRC2012_val_00032695.JPEG
5778,5778_ILSVRC2012_val_00031921.JPEG
6920,6920_ILSVRC2012_val_00018785.JPEG
7161,7161_ILSVRC2012_val_00027909.JPEG
8000,8000_ILSVRC2012_val_00023797.JPEG
8370,8370_ILSVRC2012_val_00045973.JPEG
9435,9435_ILSVRC2012_val_00038327.JPEG
9617,9617_ILSVRC2012_val_00020231.JPEG
10593,10593_ILSVRC2012_val_00002167.JPEG
10654,10654_ILSVRC2012_val_00017080.JPEG
10721,10721_ILSVRC2012_val_00005010.JPEG
11361,11361_ILSVRC2012_val_00041281.JPEG
11506,11506_ILSVRC2012_val_00040758.JPEG
12098,12098_ILSVRC2012_val_00039616.JPEG
12428,12428_ILSVRC2012_val_00035340.JPEG
12847,12847_ILSVRC2012_val_00016708.JPEG
13176,13176_ILSVRC2012_val_00006421.JPEG
14955,14955_ILSVRC2012_val_00035934.JPEG
16540,16540_ILSVRC2012_val_00035159.JPEG
16928,16928_ILSVRC2012_val_00025742.JPEG
17750,17750_ILSVRC2012_val_00021411.JPEG
18501,18501_ILSVRC2012_val_00005549.JPEG
19178,19178_ILSVRC2012_val_00007282.JPEG
21328,21328_ILSVRC2012_val_00002537.JPEG
22064,22064_ILSVRC2012_val_00038713.JPEG
22608,22608_ILSVRC2012_val_00008112.JPEG
23503,23503_ILSVRC2012_val_00002575.JPEG
24867,24867_ILSVRC2012_val_00022641.JPEG
25329,25329_ILSVRC2012_val_00022963.JPEG
25752,25752_ILSVRC2012_val_00036976.JPEG
26892,26892_ILSVRC2012_val_00027885.JPEG
27846,27846_ILSVRC2012_val_00012630.JPEG
29116,29116_ILSVRC2012_val_00019422.JPEG
31066,31066_ILSVRC2012_val_00014556.JPEG
31847,31847_ILSVRC2012_val_00040793.JPEG
32837,32837_ILSVRC2012_val_00033352.JPEG
38121,38121_ILSVRC2012_val_00026007.JPEG
38753,38753_ILSVRC2012_val_00006335.JPEG
39412,39412_ILSVRC2012_val_00008275.JPEG
39744,39744_ILSVRC2012_val_00034099.JPEG
39830,39830_ILSVRC2012_val_00047179.JPEG
40631,40631_ILSVRC2012_val_00016544.JPEG
42215,42215_ILSVRC2012_val_00041075.JPEG
42684,42684_ILSVRC2012_val_00048466.JPEG
44097,44097_ILSVRC2012_val_00013612.JPEG
