rank,image_path
784,784_ILSVRC2012_val_00014171.JPEG
1153,1153_ILSVRC2012_val_00031491.JPEG
2813,2813_ILSVRC2012_val_00020095.JPEG
3513,3513_ILSVRC2012_val_00007278.JPEG
3606,3606_ILSVRC2012_val_00011892.JPEG
4598,4598_ILSVRC2012_val_00000478.JPEG
7060,7060_ILSVRC2012_val_00024546.JPEG
9891,9891_ILSVRC2012_val_00013666.JPEG
15360,15360_ILSVRC2012_val_00003973.JPEG
21295,21295_ILSVRC2012_val_00016806.JPEG
21401,21401_ILSVRC2012_val_00011163.JPEG
21521,21521_ILSVRC2012_val_00026390.JPEG
21670,21670_ILSVRC2012_val_00023420.JPEG
22717,22717_ILSVRC2012_val_00031236.JPEG
22743,22743_ILSVRC2012_val_00026374.JPEG
23216,23216_ILSVRC2012_val_00019657.JPEG
26147,26147_ILSVRC2012_val_00033668.JPEG
26205,26205_ILSVRC2012_val_00029786.JPEG
26380,26380_ILSVRC2012_val_00029309.JPEG
30464,30464_ILSVRC2012_val_00027056.JPEG
30474,30474_ILSVRC2012_val_00011856.JPEG
31171,31171_ILSVRC2012_val_00012335.JPEG
31277,31277_ILSVRC2012_val_00020439.JPEG
32603,32603_ILSVRC2012_val_00048187.JPEG
32806,32806_ILSVRC2012_val_00005151.JPEG
34101,34101_ILSVRC2012_val_00018776.JPEG
36611,36611_ILSVRC2012_val_00021327.JPEG
36868,36868_ILSVRC2012_val_00022191.JPEG
38289,38289_ILSVRC2012_val_00029653.JPEG
39669,39669_ILSVRC2012_val_00047280.JPEG
39828,39828_ILSVRC2012_val_00045459.JPEG
41235,41235_ILSVRC2012_val_00017374.JPEG
41520,41520_ILSVRC2012_val_00008257.JPEG
42124,42124_ILSVRC2012_val_00023351.JPEG
42729,42729_ILSVRC2012_val_00000661.JPEG
44312,44312_ILSVRC2012_val_00018004.JPEG
44733,44733_ILSVRC2012_val_00032867.JPEG
45343,45343_ILSVRC2012_val_00030014.JPEG
46850,46850_ILSVRC2012_val_00007609.JPEG
46900,46900_ILSVRC2012_val_00046042.JPEG
47035,47035_ILSVRC2012_val_00032734.JPEG
47111,47111_ILSVRC2012_val_00039055.JPEG
47976,47976_ILSVRC2012_val_00036996.JPEG
48163,48163_ILSVRC2012_val_00013411.JPEG
48167,48167_ILSVRC2012_val_00034418.JPEG
48529,48529_ILSVRC2012_val_00030806.JPEG
48923,48923_ILSVRC2012_val_00022018.JPEG
48985,48985_ILSVRC2012_val_00046395.JPEG
49184,49184_ILSVRC2012_val_00015456.JPEG
49249,49249_ILSVRC2012_val_00010899.JPEG
