rank,image_path
2634,2634_ILSVRC2012_val_00043405.JPEG
5451,5451_ILSVRC2012_val_00036530.JPEG
7103,7103_ILSVRC2012_val_00042041.JPEG
8501,8501_ILSVRC2012_val_00041787.JPEG
8930,8930_ILSVRC2012_val_00048634.JPEG
13733,13733_ILSVRC2012_val_00001784.JPEG
14868,14868_ILSVRC2012_val_00043487.JPEG
18237,18237_ILSVRC2012_val_00035617.JPEG
18978,18978_ILSVRC2012_val_00031570.JPEG
19318,19318_ILSVRC2012_val_00009684.JPEG
20189,20189_ILSVRC2012_val_00018635.JPEG
22450,22450_ILSVRC2012_val_00035291.JPEG
23896,23896_ILSVRC2012_val_00021845.JPEG
24515,24515_ILSVRC2012_val_00019865.JPEG
24758,24758_ILSVRC2012_val_00035089.JPEG
24956,24956_ILSVRC2012_val_00037411.JPEG
26124,26124_ILSVRC2012_val_00037063.JPEG
28479,28479_ILSVRC2012_val_00028432.JPEG
28584,28584_ILSVRC2012_val_00035870.JPEG
29664,29664_ILSVRC2012_val_00031851.JPEG
30932,30932_ILSVRC2012_val_00022002.JPEG
30951,30951_ILSVRC2012_val_00031155.JPEG
31625,31625_ILSVRC2012_val_00012310.JPEG
32123,32123_ILSVRC2012_val_00038525.JPEG
32702,32702_ILSVRC2012_val_00025504.JPEG
33963,33963_ILSVRC2012_val_00004072.JPEG
34264,34264_ILSVRC2012_val_00021518.JPEG
34870,34870_ILSVRC2012_val_00048069.JPEG
35045,35045_ILSVRC2012_val_00006048.JPEG
35385,35385_ILSVRC2012_val_00027423.JPEG
35817,35817_ILSVRC2012_val_00020609.JPEG
36095,36095_ILSVRC2012_val_00035007.JPEG
37054,37054_ILSVRC2012_val_00030350.JPEG
37306,37306_ILSVRC2012_val_00047239.JPEG
38195,38195_ILSVRC2012_val_00017838.JPEG
38439,38439_ILSVRC2012_val_00024562.JPEG
40270,40270_ILSVRC2012_val_00025146.JPEG
41015,41015_ILSVRC2012_val_00030885.JPEG
42587,42587_ILSVRC2012_val_00037008.JPEG
42832,42832_ILSVRC2012_val_00033371.JPEG
42837,42837_ILSVRC2012_val_00029028.JPEG
44175,44175_ILSVRC2012_val_00042804.JPEG
44190,44190_ILSVRC2012_val_00004681.JPEG
45483,45483_ILSVRC2012_val_00022717.JPEG
45589,45589_ILSVRC2012_val_00007383.JPEG
45768,45768_ILSVRC2012_val_00009904.JPEG
47443,47443_ILSVRC2012_val_00042170.JPEG
49017,49017_ILSVRC2012_val_00010989.JPEG
49296,49296_ILSVRC2012_val_00022030.JPEG
49927,49927_ILSVRC2012_val_00034883.JPEG
