rank,image_path
1027,1027_ILSVRC2012_val_00010310.JPEG
1169,1169_ILSVRC2012_val_00005336.JPEG
1415,1415_ILSVRC2012_val_00009239.JPEG
1983,1983_ILSVRC2012_val_00002357.JPEG
2543,2543_ILSVRC2012_val_00021523.JPEG
3237,3237_ILSVRC2012_val_00018699.JPEG
3968,3968_ILSVRC2012_val_00026123.JPEG
4605,4605_ILSVRC2012_val_00013367.JPEG
4737,4737_ILSVRC2012_val_00015964.JPEG
5215,5215_ILSVRC2012_val_00022889.JPEG
5405,5405_ILSVRC2012_val_00004375.JPEG
5471,5471_ILSVRC2012_val_00038091.JPEG
5700,5700_ILSVRC2012_val_00048642.JPEG
5805,5805_ILSVRC2012_val_00026776.JPEG
6738,6738_ILSVRC2012_val_00007237.JPEG
7147,7147_ILSVRC2012_val_00048437.JPEG
7351,7351_ILSVRC2012_val_00022727.JPEG
7407,7407_ILSVRC2012_val_00048152.JPEG
7861,7861_ILSVRC2012_val_00038372.JPEG
8151,8151_ILSVRC2012_val_00036284.JPEG
8827,8827_ILSVRC2012_val_00020495.JPEG
9072,9072_ILSVRC2012_val_00017577.JPEG
10113,10113_ILSVRC2012_val_00005848.JPEG
10732,10732_ILSVRC2012_val_00031171.JPEG
11585,11585_ILSVRC2012_val_00001556.JPEG
11898,11898_ILSVRC2012_val_00006835.JPEG
11935,11935_ILSVRC2012_val_00018162.JPEG
12335,12335_ILSVRC2012_val_00043392.JPEG
14060,14060_ILSVRC2012_val_00004749.JPEG
14144,14144_ILSVRC2012_val_00028791.JPEG
14270,14270_ILSVRC2012_val_00023162.JPEG
16944,16944_ILSVRC2012_val_00023942.JPEG
17273,17273_ILSVRC2012_val_00015830.JPEG
17707,17707_ILSVRC2012_val_00010443.JPEG
18405,18405_ILSVRC2012_val_00047688.JPEG
19124,19124_ILSVRC2012_val_00030042.JPEG
19645,19645_ILSVRC2012_val_00045623.JPEG
19885,19885_ILSVRC2012_val_00004747.JPEG
20388,20388_ILSVRC2012_val_00016198.JPEG
21088,21088_ILSVRC2012_val_00038160.JPEG
22214,22214_ILSVRC2012_val_00006597.JPEG
23551,23551_ILSVRC2012_val_00042370.JPEG
28602,28602_ILSVRC2012_val_00000873.JPEG
30233,30233_ILSVRC2012_val_00029709.JPEG
31361,31361_ILSVRC2012_val_00026755.JPEG
31803,31803_ILSVRC2012_val_00011056.JPEG
31971,31971_ILSVRC2012_val_00013456.JPEG
40607,40607_ILSVRC2012_val_00007129.JPEG
41318,41318_ILSVRC2012_val_00048144.JPEG
42739,42739_ILSVRC2012_val_00013209.JPEG
