rank,image_path
254,254_ILSVRC2012_val_00003557.JPEG
596,596_ILSVRC2012_val_00023438.JPEG
635,635_ILSVRC2012_val_00001462.JPEG
1465,1465_ILSVRC2012_val_00035735.JPEG
1512,1512_ILSVRC2012_val_00029310.JPEG
1960,1960_ILSVRC2012_val_00010339.JPEG
2052,2052_ILSVRC2012_val_00010352.JPEG
2307,2307_ILSVRC2012_val_00040071.JPEG
2452,2452_ILSVRC2012_val_00021300.JPEG
2611,2611_ILSVRC2012_val_00046071.JPEG
3541,3541_ILSVRC2012_val_00023187.JPEG
4063,4063_ILSVRC2012_val_00005156.JPEG
4593,4593_ILSVRC2012_val_00020178.JPEG
5313,5313_ILSVRC2012_val_00028024.JPEG
6122,6122_ILSVRC2012_val_00035565.JPEG
6169,6169_ILSVRC2012_val_00005931.JPEG
6630,6630_ILSVRC2012_val_00031716.JPEG
7113,7113_ILSVRC2012_val_00044540.JPEG
7283,7283_ILSVRC2012_val_00048829.JPEG
8001,8001_ILSVRC2012_val_00047272.JPEG
8330,8330_ILSVRC2012_val_00025428.JPEG
8618,8618_ILSVRC2012_val_00022076.JPEG
8841,8841_ILSVRC2012_val_00041252.JPEG
8971,8971_ILSVRC2012_val_00012939.JPEG
9157,9157_ILSVRC2012_val_00048732.JPEG
9534,9534_ILSVRC2012_val_00000414.JPEG
10010,10010_ILSVRC2012_val_00032164.JPEG
11412,11412_ILSVRC2012_val_00006328.JPEG
11527,11527_ILSVRC2012_val_00027498.JPEG
11611,11611_ILSVRC2012_val_00031987.JPEG
12522,12522_ILSVRC2012_val_00039571.JPEG
13185,13185_ILSVRC2012_val_00027811.JPEG
14826,14826_ILSVRC2012_val_00023573.JPEG
15777,15777_ILSVRC2012_val_00048659.JPEG
16151,16151_ILSVRC2012_val_00026259.JPEG
16679,16679_ILSVRC2012_val_00041595.JPEG
17368,17368_ILSVRC2012_val_00002071.JPEG
18870,18870_ILSVRC2012_val_00002449.JPEG
19311,19311_ILSVRC2012_val_00008420.JPEG
19960,19960_ILSVRC2012_val_00037454.JPEG
20469,20469_ILSVRC2012_val_00031512.JPEG
21531,21531_ILSVRC2012_val_00027254.JPEG
24263,24263_ILSVRC2012_val_00043965.JPEG
29875,29875_ILSVRC2012_val_00011646.JPEG
32845,32845_ILSVRC2012_val_00033196.JPEG
36283,36283_ILSVRC2012_val_00018676.JPEG
37924,37924_ILSVRC2012_val_00036431.JPEG
40766,40766_ILSVRC2012_val_00003279.JPEG
42002,42002_ILSVRC2012_val_00027145.JPEG
43826,43826_ILSVRC2012_val_00025037.JPEG
