rank,image_path
934,934_ILSVRC2012_val_00036505.JPEG
1126,1126_ILSVRC2012_val_00038581.JPEG
1859,1859_ILSVRC2012_val_00048298.JPEG
2092,2092_ILSVRC2012_val_00039584.JPEG
2134,2134_ILSVRC2012_val_00030442.JPEG
2539,2539_ILSVRC2012_val_00047980.JPEG
2786,2786_ILSVRC2012_val_00025927.JPEG
3291,3291_ILSVRC2012_val_00007610.JPEG
3574,3574_ILSVRC2012_val_00041655.JPEG
3822,3822_ILSVRC2012_val_00006705.JPEG
5651,5651_ILSVRC2012_val_00036438.JPEG
5968,5968_ILSVRC2012_val_00048803.JPEG
6313,6313_ILSVRC2012_val_00004497.JPEG
6754,6754_ILSVRC2012_val_00013939.JPEG
7206,7206_ILSVRC2012_val_00049047.JPEG
7499,7499_ILSVRC2012_val_00018380.JPEG
8104,8104_ILSVRC2012_val_00049592.JPEG
8279,8279_ILSVRC2012_val_00021940.JPEG
8284,8284_ILSVRC2012_val_00000691.JPEG
8902,8902_ILSVRC2012_val_00026658.JPEG
9029,9029_ILSVRC2012_val_00017049.JPEG
9691,9691_ILSVRC2012_val_00026562.JPEG
9817,9817_ILSVRC2012_val_00003694.JPEG
9837,9837_ILSVRC2012_val_00048159.JPEG
10158,10158_ILSVRC2012_val_00007036.JPEG
10498,10498_ILSVRC2012_val_00026410.JPEG
10700,10700_ILSVRC2012_val_00012388.JPEG
10920,10920_ILSVRC2012_val_00029398.JPEG
11432,11432_ILSVRC2012_val_00013579.JPEG
11815,11815_ILSVRC2012_val_00006123.JPEG
11840,11840_ILSVRC2012_val_00036593.JPEG
11969,11969_ILSVRC2012_val_00025663.JPEG
12049,12049_ILSVRC2012_val_00007563.JPEG
13272,13272_ILSVRC2012_val_00012628.JPEG
14141,14141_ILSVRC2012_val_00037665.JPEG
14582,14582_ILSVRC2012_val_00034350.JPEG
15502,15502_ILSVRC2012_val_00033779.JPEG
16672,16672_ILSVRC2012_val_00042750.JPEG
17471,17471_ILSVRC2012_val_00024955.JPEG
18008,18008_ILSVRC2012_val_00010621.JPEG
20399,20399_ILSVRC2012_val_00024460.JPEG
21783,21783_ILSVRC2012_val_00008662.JPEG
24136,24136_ILSVRC2012_val_00007797.JPEG
24767,24767_ILSVRC2012_val_00045950.JPEG
26233,26233_ILSVRC2012_val_00003664.JPEG
31157,31157_ILSVRC2012_val_00018870.JPEG
31898,31898_ILSVRC2012_val_00034787.JPEG
34849,34849_ILSVRC2012_val_00022511.JPEG
35101,35101_ILSVRC2012_val_00035902.JPEG
39266,39266_ILSVRC2012_val_00029076.JPEG
