rank,image_path
436,436_ILSVRC2012_val_00001349.JPEG
1417,1417_ILSVRC2012_val_00006866.JPEG
1424,1424_ILSVRC2012_val_00004623.JPEG
1839,1839_ILSVRC2012_val_00047918.JPEG
2437,2437_ILSVRC2012_val_00038567.JPEG
2730,2730_ILSVRC2012_val_00014547.JPEG
3744,3744_ILSVRC2012_val_00029862.JPEG
3846,3846_ILSVRC2012_val_00013279.JPEG
3953,3953_ILSVRC2012_val_00034419.JPEG
4161,4161_ILSVRC2012_val_00013160.JPEG
5414,5414_ILSVRC2012_val_00035704.JPEG
6218,6218_ILSVRC2012_val_00030868.JPEG
6255,6255_ILSVRC2012_val_00023816.JPEG
8269,8269_ILSVRC2012_val_00002546.JPEG
8457,8457_ILSVRC2012_val_00039240.JPEG
8988,8988_ILSVRC2012_val_00027121.JPEG
9019,9019_ILSVRC2012_val_00036055.JPEG
9563,9563_ILSVRC2012_val_00018701.JPEG
9564,9564_ILSVRC2012_val_00002749.JPEG
9650,9650_ILSVRC2012_val_00029253.JPEG
9706,9706_ILSVRC2012_val_00010065.JPEG
9792,9792_ILSVRC2012_val_00021389.JPEG
9937,9937_ILSVRC2012_val_00042477.JPEG
10258,10258_ILSVRC2012_val_00028870.JPEG
10259,10259_ILSVRC2012_val_00015952.JPEG
11310,11310_ILSVRC2012_val_00018521.JPEG
12004,12004_ILSVRC2012_val_00026812.JPEG
12853,12853_ILSVRC2012_val_00047515.JPEG
13504,13504_ILSVRC2012_val_00016303.JPEG
14087,14087_ILSVRC2012_val_00040313.JPEG
15135,15135_ILSVRC2012_val_00023661.JPEG
15764,15764_ILSVRC2012_val_00008118.JPEG
17543,17543_ILSVRC2012_val_00016074.JPEG
18050,18050_ILSVRC2012_val_00043417.JPEG
18179,18179_ILSVRC2012_val_00032260.JPEG
19884,19884_ILSVRC2012_val_00008792.JPEG
24330,24330_ILSVRC2012_val_00000658.JPEG
24743,24743_ILSVRC2012_val_00021218.JPEG
27158,27158_ILSVRC2012_val_00019028.JPEG
27714,27714_ILSVRC2012_val_00047187.JPEG
28921,28921_ILSVRC2012_val_00035417.JPEG
28946,28946_ILSVRC2012_val_00005209.JPEG
30822,30822_ILSVRC2012_val_00044811.JPEG
32233,32233_ILSVRC2012_val_00008880.JPEG
36965,36965_ILSVRC2012_val_00009324.JPEG
37095,37095_ILSVRC2012_val_00005795.JPEG
37848,37848_ILSVRC2012_val_00001404.JPEG
38934,38934_ILSVRC2012_val_00014700.JPEG
49353,49353_ILSVRC2012_val_00047395.JPEG
49983,49983_ILSVRC2012_val_00001698.JPEG
