rank,image_path
730,730_ILSVRC2012_val_00020380.JPEG
3699,3699_ILSVRC2012_val_00010357.JPEG
3815,3815_ILSVRC2012_val_00013303.JPEG
4071,4071_ILSVRC2012_val_00041161.JPEG
8186,8186_ILSVRC2012_val_00030065.JPEG
8286,8286_ILSVRC2012_val_00032826.JPEG
10640,10640_ILSVRC2012_val_00025001.JPEG
10919,10919_ILSVRC2012_val_00021424.JPEG
11451,11451_ILSVRC2012_val_00035455.JPEG
13049,13049_ILSVRC2012_val_00035979.JPEG
13060,13060_ILSVRC2012_val_00042494.JPEG
14031,14031_ILSVRC2012_val_00043878.JPEG
15312,15312_ILSVRC2012_val_00043442.JPEG
15563,15563_ILSVRC2012_val_00043275.JPEG
17589,17589_ILSVRC2012_val_00003545.JPEG
20116,20116_ILSVRC2012_val_00027895.JPEG
22244,22244_ILSVRC2012_val_00011465.JPEG
23106,23106_ILSVRC2012_val_00000113.JPEG
23248,23248_ILSVRC2012_val_00015210.JPEG
24413,24413_ILSVRC2012_val_00010768.JPEG
24431,24431_ILSVRC2012_val_00035770.JPEG
25943,25943_ILSVRC2012_val_00033644.JPEG
27823,27823_ILSVRC2012_val_00007762.JPEG
29296,29296_ILSVRC2012_val_00011765.JPEG
30674,30674_ILSVRC2012_val_00006533.JPEG
31245,31245_ILSVRC2012_val_00037290.JPEG
32380,32380_ILSVRC2012_val_00011090.JPEG
32748,32748_ILSVRC2012_val_00036712.JPEG
32827,32827_ILSVRC2012_val_00034997.JPEG
34715,34715_ILSVRC2012_val_00021923.JPEG
35564,35564_ILSVRC2012_val_00001781.JPEG
35851,35851_ILSVRC2012_val_00041416.JPEG
36026,36026_ILSVRC2012_val_00015146.JPEG
36349,36349_ILSVRC2012_val_00017056.JPEG
36492,36492_ILSVRC2012_val_00017234.JPEG
37060,37060_ILSVRC2012_val_00023038.JPEG
37244,37244_ILSVRC2012_val_00041115.JPEG
38163,38163_ILSVRC2012_val_00008397.JPEG
38982,38982_ILSVRC2012_val_00037703.JPEG
40649,40649_ILSVRC2012_val_00042144.JPEG
42880,42880_ILSVRC2012_val_00013289.JPEG
43570,43570_ILSVRC2012_val_00006002.JPEG
44223,44223_ILSVRC2012_val_00016191.JPEG
44865,44865_ILSVRC2012_val_00049826.JPEG
47080,47080_ILSVRC2012_val_00002940.JPEG
47409,47409_ILSVRC2012_val_00021838.JPEG
47731,47731_ILSVRC2012_val_00027094.JPEG
48596,48596_ILSVRC2012_val_00000603.JPEG
48878,48878_ILSVRC2012_val_00032322.JPEG
49172,49172_ILSVRC2012_val_00013287.JPEG
