rank,image_path
1113,1113_ILSVRC2012_val_00034841.JPEG
1167,1167_ILSVRC2012_val_00029815.JPEG
2490,2490_ILSVRC2012_val_00004726.JPEG
2533,2533_ILSVRC2012_val_00016305.JPEG
2683,2683_ILSVRC2012_val_00049178.JPEG
3295,3295_ILSVRC2012_val_00021598.JPEG
3504,3504_ILSVRC2012_val_00016356.JPEG
3619,3619_ILSVRC2012_val_00026329.JPEG
4164,4164_ILSVRC2012_val_00031104.JPEG
5347,5347_ILSVRC2012_val_00018458.JPEG
5618,5618_ILSVRC2012_val_00019359.JPEG
7341,7341_ILSVRC2012_val_00004537.JPEG
7707,7707_ILSVRC2012_val_00037487.JPEG
10227,10227_ILSVRC2012_val_00016958.JPEG
11167,11167_ILSVRC2012_val_00047559.JPEG
14508,14508_ILSVRC2012_val_00030376.JPEG
15246,15246_ILSVRC2012_val_00041526.JPEG
16225,16225_ILSVRC2012_val_00016123.JPEG
19249,19249_ILSVRC2012_val_00022317.JPEG
20050,20050_ILSVRC2012_val_00020521.JPEG
20226,20226_ILSVRC2012_val_00009127.JPEG
22902,22902_ILSVRC2012_val_00019735.JPEG
23272,23272_ILSVRC2012_val_00024199.JPEG
25584,25584_ILSVRC2012_val_00048565.JPEG
26869,26869_ILSVRC2012_val_00010469.JPEG
27272,27272_ILSVRC2012_val_00038063.JPEG
27583,27583_ILSVRC2012_val_00027847.JPEG
28779,28779_ILSVRC2012_val_00045271.JPEG
29343,29343_ILSVRC2012_val_00021852.JPEG
29493,29493_ILSVRC2012_val_00002657.JPEG
31956,31956_ILSVRC2012_val_00002627.JPEG
32559,32559_ILSVRC2012_val_00040416.JPEG
33281,33281_ILSVRC2012_val_00049346.JPEG
34422,34422_ILSVRC2012_val_00036584.JPEG
35137,35137_ILSVRC2012_val_00007703.JPEG
35687,35687_ILSVRC2012_val_00023509.JPEG
36405,36405_ILSVRC2012_val_00040483.JPEG
36406,36406_ILSVRC2012_val_00028110.JPEG
36469,36469_ILSVRC2012_val_00020570.JPEG
37002,37002_ILSVRC2012_val_00011301.JPEG
39539,39539_ILSVRC2012_val_00007859.JPEG
40377,40377_ILSVRC2012_val_00015323.JPEG
40653,40653_ILSVRC2012_val_00020085.JPEG
40706,40706_ILSVRC2012_val_00023980.JPEG
40889,40889_ILSVRC2012_val_00032567.JPEG
41217,41217_ILSVRC2012_val_00039803.JPEG
42742,42742_ILSVRC2012_val_00004189.JPEG
43119,43119_ILSVRC2012_val_00037355.JPEG
44701,44701_ILSVRC2012_val_00040554.JPEG
45031,45031_ILSVRC2012_val_00042984.JPEG
