rank,image_path
1942,1942_ILSVRC2012_val_00007373.JPEG
26331,26331_ILSVRC2012_val_00048620.JPEG
29420,29420_ILSVRC2012_val_00021413.JPEG
36012,36012_ILSVRC2012_val_00043390.JPEG
37398,37398_ILSVRC2012_val_00038104.JPEG
38143,38143_ILSVRC2012_val_00024499.JPEG
39959,39959_ILSVRC2012_val_00045326.JPEG
40344,40344_ILSVRC2012_val_00003142.JPEG
40538,40538_ILSVRC2012_val_00015965.JPEG
41294,41294_ILSVRC2012_val_00029674.JPEG
41909,41909_ILSVRC2012_val_00037209.JPEG
42088,42088_ILSVRC2012_val_00007948.JPEG
42382,42382_ILSVRC2012_val_00016812.JPEG
43212,43212_ILSVRC2012_val_00024869.JPEG
43238,43238_ILSVRC2012_val_00000660.JPEG
43248,43248_ILSVRC2012_val_00018221.JPEG
43480,43480_ILSVRC2012_val_00038829.JPEG
44229,44229_ILSVRC2012_val_00026305.JPEG
44760,44760_ILSVRC2012_val_00024496.JPEG
45081,45081_ILSVRC2012_val_00008787.JPEG
45973,45973_ILSVRC2012_val_00005001.JPEG
46116,46116_ILSVRC2012_val_00003418.JPEG
46182,46182_ILSVRC2012_val_00017736.JPEG
46438,46438_ILSVRC2012_val_00000151.JPEG
46754,46754_ILSVRC2012_val_00030849.JPEG
46757,46757_ILSVRC2012_val_00031511.JPEG
46883,46883_ILSVRC2012_val_00011923.JPEG
46988,46988_ILSVRC2012_val_00031843.JPEG
47145,47145_ILSVRC2012_val_00021447.JPEG
47403,47403_ILSVRC2012_val_00033185.JPEG
47477,47477_ILSVRC2012_val_00001713.JPEG
47701,47701_ILSVRC2012_val_00022256.JPEG
47861,47861_ILSVRC2012_val_00048251.JPEG
47913,47913_ILSVRC2012_val_00040665.JPEG
47970,47970_ILSVRC2012_val_00002580.JPEG
48061,48061_ILSVRC2012_val_00005275.JPEG
48147,48147_ILSVRC2012_val_00019840.JPEG
48310,48310_ILSVRC2012_val_00031537.JPEG
48319,48319_ILSVRC2012_val_00005940.JPEG
48428,48428_ILSVRC2012_val_00037062.JPEG
48595,48595_ILSVRC2012_val_00047429.JPEG
48791,48791_ILSVRC2012_val_00038082.JPEG
48821,48821_ILSVRC2012_val_00024552.JPEG
48965,48965_ILSVRC2012_val_00022093.JPEG
49270,49270_ILSVRC2012_val_00011275.JPEG
49548,49548_ILSVRC2012_val_00031574.JPEG
49626,49626_ILSVRC2012_val_00048258.JPEG
49756,49756_ILSVRC2012_val_00018063.JPEG
49819,49819_ILSVRC2012_val_00042454.JPEG
49985,49985_ILSVRC2012_val_00008836.JPEG
